date,Stahl-_und_Leichtmetallbau.Preiserwartungen,Herstellung_von_Gummi-_und_Kunststoffindustriemaschinen.Preiserwartungen,Stahl-_und_Leichtmetallbau.Fertigwarenlager_Beurteilung,Herstellung_von_Papier.Auftragsbestand_gegen_Vormonat,Herstellung_von_Kabeln_und_Elektroinstallationsmaterial.Auftragsbestand_Beurteilung,Herstellung_von_sonstigen_Kunststoffwaren.Preiserwartungen,Herstellung_von_land-_und_forstwirtschaftlichen_Maschinen.Geschäftslage_Beurteilung,Herstellung_von_nicht-branchenspezifischen_Maschinen.Produktionspläne,Herstellung_von_Leder_Lederwaren_und_Schuhen.Nachfrage_gegen_Vormonat,Zeitungsdruck.Preiserwartungen,Herstellung_von_Gummi-_und_Kunststoffwaren.Exporterwartungen,Oberflächenveredlung_Wärmebehandlung_und_Mechanik_a.n.g..Geschäftslage_Erwartungen,Ernährungsgewerbe_und_Tabakverarbeitung.Geschäftslage_Beurteilung,Herstellung_von_Polstermöbeln.Auftragsbestand_Beurteilung_Export,Herstellung_von_Fertigbauteilen_und_Ausbauelementen.Auftragsbestand_Beurteilung,Gießereien.Geschäftslage_Beurteilung,Datenverarbeitungsgeräte_elektronische_und_optische_Erzeugnisse.Fertigwarenlager_Beurteilung,Herstellung_von_keramischen_Haushaltswaren.Auftragsbestand_Beurteilung_Export,Herstellung_von_sonstigen_Waren.Preiserwartungen,Maschinenbau.Auftragsbestand_Beurteilung_Export
1991-01-01,12.25543,17.94834,19.62597,-9.07107,14.30367,15.76083,-7.23452,2.80716,-12.6025,37.11893,-3.26163,-22.52496,54.4055,-4.29074,38.12986,17.70959,11.28038,-40.70314,22.4964,-48.34739
1991-02-01,32.1983,16.13433,-3.23137,-7.35321,20.89244,22.43117,-18.48894,-2.83871,-13.08044,33.42555,-7.38544,-23.56097,45.52599,-21.32407,27.41436,3.86535,13.53527,-45.46583,17.62008,-53.01737
1991-03-01,22.22235,17.4121,15.52695,-27.6886,8.83765,21.83935,-14.53237,-2.09881,-2.88406,46.80572,-10.12934,-38.25215,36.56148,-32.03747,26.90422,-1.54078,22.27259,-49.5573,22.84281,-56.07201
1991-04-01,13.81052,31.33115,52.24412,-21.74516,10.4559,23.9866,-17.59435,-0.7678,-5.29415,43.27129,-8.0588,-36.90519,32.66989,-38.35888,17.33274,-23.55946,18.15079,-52.91141,14.05479,-59.57011
1991-05-01,9.3181,8.0788,15.87666,-16.23829,1.89047,25.67021,-26.55268,-4.99265,-6.85473,47.38162,-11.90583,-37.17868,37.91247,-33.08175,15.56158,-23.42337,21.3082,-64.09198,16.47033,-62.38727
1991-06-01,10.90345,5.91951,-11.51489,-18.35552,7.15118,25.81184,-24.35608,2.67067,5.72721,46.32638,-11.67147,-36.29466,12.56311,-34.13217,10.04017,-33.12209,22.55621,-68.19167,19.06892,-63.21358
1991-07-01,7.52374,3.55776,9.60402,-19.64777,4.9744,21.16359,-32.06108,-6.14755,-8.28876,40.56665,-9.06088,-43.31416,21.59472,-44.31853,8.60137,-37.70246,27.83095,-80.8701,18.69822,-62.3992
1991-08-01,8.5485,1.39217,30.74553,-9.51204,1.19105,18.75832,-35.21433,-7.50703,-3.91065,42.1604,-3.12825,-31.23621,19.61728,-39.48416,13.48582,-39.63447,22.48603,-65.88081,22.79296,-64.10353
1991-09-01,6.2225,-2.80977,37.63275,-27.07134,-9.14443,7.84297,-28.587,-3.49962,-1.15897,29.97597,-5.92239,-29.29385,17.24625,-41.84322,4.99587,-43.34455,27.65391,-60.9133,20.20134,-62.73078
1991-10-01,6.68154,1.31804,24.58258,-22.68693,1.20519,21.66082,-25.70316,-8.58203,-8.04687,53.43826,-2.59945,-35.1082,14.12495,-31.56662,4.33989,-31.33443,29.94145,-69.02827,22.0532,-62.48112
1991-11-01,6.64059,-0.52094,7.06944,-21.99228,1.97259,21.80469,-22.91306,0.69087,-0.43102,24.86904,-3.56421,-43.95412,6.54531,-43.60577,6.47888,-35.39377,34.828,-69.43859,28.64308,-62.01066
1991-12-01,6.899,-8.31817,10.54979,-29.1986,3.53998,20.18332,-22.34235,-3.6688,5.36474,23.7083,-6.31449,-47.84637,2.22522,-43.508,11.23346,-43.39426,36.21853,-73.96482,25.88043,-63.69361
1992-01-01,11.53803,6.30684,0.53363,-33.36162,9.08269,25.45226,-39.04972,0.51477,-10.62065,32.56784,-7.13384,-61.61255,7.42252,-30.6168,11.32991,-46.50667,38.16089,-81.75579,21.86627,-64.28019
1992-02-01,14.87152,7.38927,-16.82646,-22.05999,-4.06386,24.57669,-31.99181,0.69479,5.6094,31.38114,-9.60832,-34.27649,5.43695,-44.21722,6.77051,-40.43516,43.67561,-85.6199,21.76359,-67.16255
1992-03-01,13.75784,11.02499,-10.78642,-27.10712,5.29188,19.64852,-43.37648,11.19386,-3.63046,32.53652,-4.07386,-30.22649,-1.82713,-38.96824,-1.94034,-43.089,37.30517,-79.05271,15.90629,-65.99077
1992-04-01,7.98238,13.63286,-14.38023,-22.13885,-2.62675,17.35745,-46.25636,-5.7594,-34.89384,24.59041,-2.05331,-29.71827,0.94612,-45.20778,-6.2164,-46.83629,41.05874,-91.92272,14.80798,-66.47451
1992-05-01,0.97033,13.92198,3.46997,-27.08616,-0.8958,15.69918,-42.67361,-2.54192,-12.43179,18.00529,-2.97088,-30.14799,-3.01884,-54.79016,-8.5056,-47.06817,42.46169,-86.27426,15.2912,-68.42913
1992-06-01,4.80676,6.7216,15.74148,-32.19891,-8.27413,7.29795,-48.52155,-7.9155,-10.15566,24.7237,-3.73148,-43.84206,-5.45143,-46.98975,4.15613,-45.92012,39.23792,-63.51204,14.97425,-68.25431
1992-07-01,-2.41055,12.04011,8.29915,-26.66005,-12.09994,4.35783,-50.35576,-10.17827,-11.30064,20.65234,-1.01966,-17.16277,-2.81363,-52.59547,-4.42858,-46.81128,36.9502,-74.99799,18.48643,-67.38679
1992-08-01,-4.609,0.24266,-8.41225,-25.74725,-2.23318,-0.12957,-57.25739,-7.10696,-19.45758,19.31811,-4.89528,-45.70084,-6.35478,-56.11902,-10.13303,-54.7448,38.41667,-87.40571,14.72423,-69.10085
1992-09-01,-8.32551,1.95417,4.55295,-7.51921,-19.31723,-5.95473,-71.25078,-12.76282,-26.2812,18.7547,-11.08519,-58.58032,-9.55752,-47.74285,-16.96083,-55.50359,37.33986,-86.10014,17.0712,-73.8097
1992-10-01,-13.90462,2.58298,0.75772,-19.08313,-33.29796,-12.95039,-49.62322,-16.40127,-15.97752,13.82719,-7.34591,-64.1651,-15.71684,-57.69776,-18.8979,-58.20012,39.28779,-86.82147,24.24162,-74.45556
1992-11-01,-8.72113,-7.05505,8.60889,-43.5406,-33.04753,-14.37557,-64.73416,-24.79085,-20.79939,17.0682,-15.51641,-62.49338,-10.72528,-54.46698,-34.80665,-64.73502,38.88027,-86.51099,19.78649,-74.85324
1992-12-01,-9.82975,1.86738,-0.99075,-29.5042,-36.694,-19.74162,-72.44907,-25.52071,-5.93174,12.56427,-17.47912,-61.32487,-4.69152,-51.54585,-13.02105,-65.49572,29.39807,-87.01788,19.28862,-75.77632
1993-01-01,-8.94238,-7.37902,7.87938,-19.99262,-35.96783,-21.46935,-71.52645,-27.60523,-8.99385,13.24228,-17.13597,-64.95749,-17.18699,-64.80295,-22.90263,-71.43688,28.06005,-73.99217,18.24139,-78.23742
1993-02-01,-8.94448,-7.89771,18.25369,-40.27056,-38.62149,-29.70695,-77.65225,-27.96299,-21.68719,10.90349,-16.80103,-64.06203,-15.47613,-75.00603,-24.38229,-77.92841,37.81176,-78.07985,15.81831,-76.35723
