block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block2,elastic_net,1,2.133437377281159,20,200,201,220
block2,elastic_net,2,2.2158895873372,20,200,201,220
block2,elastic_net,3,2.44835277359556,20,200,201,220
block2,elastic_net,4,2.4483039381995337,20,200,201,220
block2,elastic_net,5,2.447938021973548,20,200,201,220
block2,elastic_net,6,2.45104175424533,20,200,201,220
block2,elastic_net,7,2.4483379853488585,20,200,201,220
block2,elastic_net,8,2.4481513969033335,20,200,201,220
block2,elastic_net,9,2.44652836552791,20,200,201,220
block2,elastic_net,10,2.4483225739328427,20,200,201,220
block2,elastic_net,11,2.4480035517068828,20,200,201,220
block2,elastic_net,12,2.445158994523698,20,200,201,220
block2,elastic_net,13,2.4483058082624383,20,200,201,220
block2,elastic_net,14,2.447852450901497,20,200,201,220
block2,elastic_net,15,2.4438415453974756,20,200,201,220
block2,elastic_net,16,2.448290510035811,20,200,201,220
block2,elastic_net,17,2.4477011719206576,20,200,201,220
block2,elastic_net,18,2.442577178221132,20,200,201,220
block2,elastic_net,19,2.5874766333862165,20,200,201,220
block2,elastic_net,20,2.605312578912232,20,200,201,220
block2,elastic_net,21,2.5894913830048467,20,200,201,220
block2,elastic_net,22,2.593802734655271,20,200,201,220
block2,elastic_net,23,2.5883465530414393,20,200,201,220
block2,elastic_net,24,2.5890486466334988,20,200,201,220
block2,elastic_net,25,2.715127774675042,20,200,201,220
block2,elastic_net,26,2.7146600880418243,20,200,201,220
block2,elastic_net,27,2.7100750223520467,20,200,201,220
block2,elastic_net,28,2.672164682887201,20,200,201,220
block2,elastic_net,29,2.714901243250631,20,200,201,220
block2,elastic_net,30,2.7114097430320987,20,200,201,220
block2,elastic_net,31,2.6784037233399745,20,200,201,220
block2,elastic_net,32,2.41448329010765,20,200,201,220
block2,elastic_net,33,2.7145653236228453,20,200,201,220
block2,elastic_net,34,2.708063004315662,20,200,201,220
block2,elastic_net,35,2.649623032180908,20,200,201,220
block2,elastic_net,36,2.7142318441627635,20,200,201,220
block2,elastic_net,37,2.704710208789271,20,200,201,220
block2,elastic_net,38,2.6211470410872346,20,200,201,220
block2,elastic_net,39,2.713891107135094,20,200,201,220
block2,elastic_net,40,2.7013679150470113,20,200,201,220
block2,elastic_net,41,2.593002058624134,20,200,201,220
block2,elastic_net,42,2.717261416193768,20,200,201,220
block2,elastic_net,43,2.716996855728566,20,200,201,220
block2,elastic_net,44,2.7145159767653193,20,200,201,220
block2,elastic_net,45,2.699176414505302,20,200,201,220
block2,elastic_net,46,2.673281885165322,20,200,201,220
block2,elastic_net,47,2.713019471392271,20,200,201,220
block2,elastic_net,48,2.6799983626589627,20,200,201,220
block2,elastic_net,49,2.4244937501603023,20,200,201,220
block2,elastic_net,50,2.26393235935059,20,200,201,220
block2,elastic_net,51,2.176035665195277,20,200,201,220
block2,elastic_net,52,2.1285382818249783,20,200,201,220
block2,elastic_net,53,2.157803178173939,20,200,201,220
block2,elastic_net,54,2.2335219422886063,20,200,201,220
block2,elastic_net,55,2.5759734714156974,20,200,201,220
block2,elastic_net,56,2.618034279176856,20,200,201,220
block2,elastic_net,57,2.63698994737499,20,200,201,220
block2,elastic_net,58,2.642116223814419,20,200,201,220
block2,elastic_net,59,2.6403138338562147,20,200,201,220
block2,elastic_net,60,2.634594881551058,20,200,201,220
block2,elastic_net,61,2.375161504981347,20,200,201,220
block2,elastic_net,62,2.3466356762231286,20,200,201,220
block2,elastic_net,63,2.380381356468253,20,200,201,220
block2,elastic_net,64,2.4220033889920765,20,200,201,220
block2,elastic_net,65,2.2090862871297343,20,200,201,220
block2,elastic_net,66,2.234602068090294,20,200,201,220
block2,elastic_net,67,2.2679044307405043,20,200,201,220
block2,elastic_net,68,2.6203103029097705,20,200,201,220
block2,elastic_net,69,2.6364106664472833,20,200,201,220
block2,elastic_net,70,3.1006188803963717,20,200,201,220
block2,elastic_net,71,2.8665165466631244,20,200,201,220
block2,elastic_net,72,2.6907585166217616,20,200,201,220
block2,elastic_net,73,2.5367977604656713,20,200,201,220
block2,elastic_net,74,3.051738476346696,20,200,201,220
block2,elastic_net,75,3.076446209901915,20,200,201,220
block2,elastic_net,76,2.858277037129853,20,200,201,220
block2,elastic_net,77,2.675810142133058,20,200,201,220
block2,elastic_net,78,2.5423415046326747,20,200,201,220
block2,elastic_net,79,2.3092617882825075,20,200,201,220
block2,elastic_net,80,2.6243771047282487,20,200,201,220
block2,elastic_net,81,2.186010019628671,20,200,201,220
block2,elastic_net,82,2.2299579311321196,20,200,201,220
block2,elastic_net,83,2.5188937329205814,20,200,201,220
block2,elastic_net,84,2.5575467921616286,20,200,201,220
