block,model,config_id,config_global_id,rmse,n_oos,train_end,oos_start,oos_end
block1,elastic_net_without_target_700,337,336,1.0632472404259696,20,180,181,200
block1,elastic_net_without_target_700,338,337,1.0628065884318958,20,180,181,200
block1,elastic_net_without_target_700,339,338,1.0585796099683025,20,180,181,200
block1,elastic_net_without_target_700,340,339,1.029146378799179,20,180,181,200
block1,elastic_net_without_target_700,341,340,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,342,341,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,343,342,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,344,343,1.0632340748129123,20,180,181,200
block1,elastic_net_without_target_700,345,344,1.0626726480209714,20,180,181,200
block1,elastic_net_without_target_700,346,345,1.057426269632108,20,180,181,200
block1,elastic_net_without_target_700,347,346,1.0315330468588415,20,180,181,200
block1,elastic_net_without_target_700,348,347,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,349,348,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,350,349,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,351,350,1.8068917671021212,20,180,181,200
block1,elastic_net_without_target_700,352,351,1.8056299814630725,20,180,181,200
block1,elastic_net_without_target_700,353,352,1.7931609786074703,20,180,181,200
block1,elastic_net_without_target_700,354,353,1.6819521448460517,20,180,181,200
block1,elastic_net_without_target_700,355,354,1.216444476800142,20,180,181,200
block1,elastic_net_without_target_700,356,355,1.0659238656882806,20,180,181,200
block1,elastic_net_without_target_700,357,356,1.0897041422082867,20,180,181,200
block1,elastic_net_without_target_700,358,357,1.8067573943498345,20,180,181,200
block1,elastic_net_without_target_700,359,358,1.8042880934669685,20,180,181,200
block1,elastic_net_without_target_700,360,359,1.7801803992853957,20,180,181,200
block1,elastic_net_without_target_700,361,360,1.5870519215212855,20,180,181,200
block1,elastic_net_without_target_700,362,361,1.1046989170950583,20,180,181,200
block1,elastic_net_without_target_700,363,362,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,364,363,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,365,364,1.8066230290216427,20,180,181,200
block1,elastic_net_without_target_700,366,365,1.802946953196552,20,180,181,200
block1,elastic_net_without_target_700,367,366,1.768612291917582,20,180,181,200
block1,elastic_net_without_target_700,368,367,1.506675902377566,20,180,181,200
block1,elastic_net_without_target_700,369,368,1.10766576307206,20,180,181,200
block1,elastic_net_without_target_700,370,369,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,371,370,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,372,371,1.80648867112232,20,180,181,200
block1,elastic_net_without_target_700,373,372,1.8016065654468778,20,180,181,200
block1,elastic_net_without_target_700,374,373,1.7583511091634925,20,180,181,200
block1,elastic_net_without_target_700,375,374,1.4448995116816539,20,180,181,200
block1,elastic_net_without_target_700,376,375,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,377,376,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,378,377,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,379,378,1.8063543206566415,20,180,181,200
block1,elastic_net_without_target_700,380,379,1.8002669350312832,20,180,181,200
block1,elastic_net_without_target_700,381,380,1.7478817452486715,20,180,181,200
block1,elastic_net_without_target_700,382,381,1.3995308703357692,20,180,181,200
block1,elastic_net_without_target_700,383,382,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,384,383,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,385,384,1.0938120688922108,20,180,181,200
block1,elastic_net_without_target_700,386,385,1.806829845876864,20,180,181,200
block1,elastic_net_without_target_700,387,386,1.8055087569288666,20,180,181,200
block1,elastic_net_without_target_700,388,387,1.7924089435476833,20,180,181,200
block1,elastic_net_without_target_700,389,388,1.6770041389411467,20,180,181,200
block1,elastic_net_without_target_700,390,389,1.2147865296219307,20,180,181,200
block1,elastic_net_without_target_700,391,390,1.0551920847850547,20,180,181,200
block1,elastic_net_without_target_700,392,391,1.073345187152289,20,180,181,200
block1,elastic_net_without_target_700,393,392,1.8066807854698237,20,180,181,200
block1,elastic_net_without_target_700,394,393,1.8040139683638703,20,180,181,200
block1,elastic_net_without_target_700,395,394,1.7779188173703573,20,180,181,200
block1,elastic_net_without_target_700,396,395,1.5836388839011313,20,180,181,200
block1,elastic_net_without_target_700,397,396,1.0932514360875845,20,180,181,200
block1,elastic_net_without_target_700,398,397,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,399,398,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,400,399,1.8065317323391303,20,180,181,200
block1,elastic_net_without_target_700,401,400,1.8025263135280787,20,180,181,200
block1,elastic_net_without_target_700,402,401,1.7654745853013614,20,180,181,200
block1,elastic_net_without_target_700,403,402,1.5025451061293165,20,180,181,200
block1,elastic_net_without_target_700,404,403,1.073076013991708,20,180,181,200
block1,elastic_net_without_target_700,405,404,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,406,405,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,407,406,1.806382686490428,20,180,181,200
block1,elastic_net_without_target_700,408,407,1.8010394047679437,20,180,181,200
block1,elastic_net_without_target_700,409,408,1.754068906891525,20,180,181,200
block1,elastic_net_without_target_700,410,409,1.4445035597108948,20,180,181,200
block1,elastic_net_without_target_700,411,410,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,412,411,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,413,412,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,414,413,1.8062336479293664,20,180,181,200
block1,elastic_net_without_target_700,415,414,1.7995531391245416,20,180,181,200
block1,elastic_net_without_target_700,416,415,1.74268286449518,20,180,181,200
block1,elastic_net_without_target_700,417,416,1.4048390067909433,20,180,181,200
block1,elastic_net_without_target_700,418,417,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,419,418,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,420,419,1.0767655669666252,20,180,181,200
block1,elastic_net_without_target_700,421,420,2.0350837201010568,20,180,181,200
block1,elastic_net_without_target_700,422,421,2.019517967531836,20,180,181,200
block1,elastic_net_without_target_700,423,422,1.9729589297616756,20,180,181,200
block1,elastic_net_without_target_700,424,423,1.574359527660772,20,180,181,200
block1,elastic_net_without_target_700,425,424,1.063665347164482,20,180,181,200
block1,elastic_net_without_target_700,426,425,0.9977400004613625,20,180,181,200
block1,elastic_net_without_target_700,427,426,1.0338076627882105,20,180,181,200
block1,elastic_net_without_target_700,428,427,2.0776905723329584,20,180,181,200
block1,elastic_net_without_target_700,429,428,2.7274379583315596,20,180,181,200
