block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block2,extra_trees_dynamic_fi,1,2.511703554957189,20,200,201,220
block2,extra_trees_dynamic_fi,2,2.5631723192031326,20,200,201,220
block2,extra_trees_dynamic_fi,3,2.573022494800418,20,200,201,220
block2,extra_trees_dynamic_fi,4,2.5534965225577464,20,200,201,220
block2,extra_trees_dynamic_fi,5,2.567393961164735,20,200,201,220
block2,extra_trees_dynamic_fi,6,2.5776753577396834,20,200,201,220
block2,extra_trees_dynamic_fi,7,2.5742265893189153,20,200,201,220
block2,extra_trees_dynamic_fi,8,2.5748085627047934,20,200,201,220
block2,extra_trees_dynamic_fi,9,2.5603592956921535,20,200,201,220
block2,extra_trees_dynamic_fi,10,2.5694055038631842,20,200,201,220
block2,extra_trees_dynamic_fi,11,2.5814663658707713,20,200,201,220
block2,extra_trees_dynamic_fi,12,2.575470110815067,20,200,201,220
block2,extra_trees_dynamic_fi,13,2.5758318824063617,20,200,201,220
block2,extra_trees_dynamic_fi,14,2.5645348139819943,20,200,201,220
block2,extra_trees_dynamic_fi,15,2.5689232233760464,20,200,201,220
block2,extra_trees_dynamic_fi,16,2.5818553982664656,20,200,201,220
block2,extra_trees_dynamic_fi,17,2.576384698760948,20,200,201,220
