block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block1,gpr_dynamic_fi,1,1.1015169908176499,20,180,181,200
block1,gpr_dynamic_fi,2,1.1015169908176499,20,180,181,200
block1,gpr_dynamic_fi,3,1.101517000128489,20,180,181,200
block1,gpr_dynamic_fi,4,1.101517000128489,20,180,181,200
block1,gpr_dynamic_fi,5,1.101516992933827,20,180,181,200
block1,gpr_dynamic_fi,6,1.101516992933827,20,180,181,200
block1,gpr_dynamic_fi,7,1.1015169908176499,20,180,181,200
block1,gpr_dynamic_fi,8,1.1015169908176499,20,180,181,200
block1,gpr_dynamic_fi,9,1.1015170108307897,20,180,181,200
block1,gpr_dynamic_fi,10,1.1015170108307897,20,180,181,200
block1,gpr_dynamic_fi,11,1.1015169908382347,20,180,181,200
block1,gpr_dynamic_fi,12,1.1015169908382347,20,180,181,200
