block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block1,lightgbm_with_target_mac,1,1.0708367930532101,20,180,181,200
block1,lightgbm_with_target_mac,2,1.0653708754713802,20,180,181,200
block1,lightgbm_with_target_mac,3,1.0704055695299397,20,180,181,200
block1,lightgbm_with_target_mac,4,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,5,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,6,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,7,1.0708367930532101,20,180,181,200
block1,lightgbm_with_target_mac,8,1.0653708754713802,20,180,181,200
block1,lightgbm_with_target_mac,9,1.0704055695299397,20,180,181,200
block1,lightgbm_with_target_mac,10,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,11,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,12,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,13,1.0708367930532101,20,180,181,200
block1,lightgbm_with_target_mac,14,1.0653708754713802,20,180,181,200
block1,lightgbm_with_target_mac,15,1.0704055695299397,20,180,181,200
block1,lightgbm_with_target_mac,16,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,17,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,18,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,19,1.0708367930532101,20,180,181,200
block1,lightgbm_with_target_mac,20,1.0653708754713802,20,180,181,200
block1,lightgbm_with_target_mac,21,1.0704055695299397,20,180,181,200
block1,lightgbm_with_target_mac,22,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,23,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,24,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,25,1.0708367930532101,20,180,181,200
block1,lightgbm_with_target_mac,26,1.0653708754713802,20,180,181,200
block1,lightgbm_with_target_mac,27,1.0704055695299397,20,180,181,200
block1,lightgbm_with_target_mac,28,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,29,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,30,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,31,1.0708367930532101,20,180,181,200
block1,lightgbm_with_target_mac,32,1.0653708754713802,20,180,181,200
block1,lightgbm_with_target_mac,33,1.0704055695299397,20,180,181,200
block1,lightgbm_with_target_mac,34,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,35,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,36,1.1103981686915108,20,180,181,200
block1,lightgbm_with_target_mac,37,1.0708367930532101,20,180,181,200
block1,lightgbm_with_target_mac,38,1.0653708754713802,20,180,181,200
