block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block2,lightgbm_without_target_final,1,2.379028549344362,20,200,201,220
block2,lightgbm_without_target_final,2,2.379028549344362,20,200,201,220
block2,lightgbm_without_target_final,3,2.379028549344362,20,200,201,220
block2,lightgbm_without_target_final,4,2.38139293115303,20,200,201,220
block2,lightgbm_without_target_final,5,2.38139293115303,20,200,201,220
block2,lightgbm_without_target_final,6,2.38139293115303,20,200,201,220
block2,lightgbm_without_target_final,7,2.38139293115303,20,200,201,220
block2,lightgbm_without_target_final,8,2.62974649441954,20,200,201,220
block2,lightgbm_without_target_final,9,2.6190242230688208,20,200,201,220
block2,lightgbm_without_target_final,10,2.6278246544554893,20,200,201,220
block2,lightgbm_without_target_final,11,2.654191767366752,20,200,201,220
block2,lightgbm_without_target_final,12,2.62974649441954,20,200,201,220
block2,lightgbm_without_target_final,13,2.6190242230688208,20,200,201,220
block2,lightgbm_without_target_final,14,2.6278246544554893,20,200,201,220
block2,lightgbm_without_target_final,15,2.654191767366752,20,200,201,220
block2,lightgbm_without_target_final,16,2.62974649441954,20,200,201,220
block2,lightgbm_without_target_final,17,2.6190242230688208,20,200,201,220
block2,lightgbm_without_target_final,18,2.6278246544554893,20,200,201,220
block2,lightgbm_without_target_final,19,2.654191767366752,20,200,201,220
block2,lightgbm_without_target_final,20,2.62974649441954,20,200,201,220
block2,lightgbm_without_target_final,21,2.6190242230688208,20,200,201,220
block2,lightgbm_without_target_final,22,2.6278246544554893,20,200,201,220
block2,lightgbm_without_target_final,23,2.654191767366752,20,200,201,220
block2,lightgbm_without_target_final,24,2.6992715267740035,20,200,201,220
block2,lightgbm_without_target_final,25,2.6359820468839246,20,200,201,220
block2,lightgbm_without_target_final,26,2.6472398438534315,20,200,201,220
block2,lightgbm_without_target_final,27,2.6267001762799786,20,200,201,220
block2,lightgbm_without_target_final,28,2.6992715267740035,20,200,201,220
block2,lightgbm_without_target_final,29,2.6359820468839246,20,200,201,220
block2,lightgbm_without_target_final,30,2.6472398438534315,20,200,201,220
block2,lightgbm_without_target_final,31,2.6267001762799786,20,200,201,220
block2,lightgbm_without_target_final,32,2.6992715267740035,20,200,201,220
block2,lightgbm_without_target_final,33,2.6359820468839246,20,200,201,220
block2,lightgbm_without_target_final,34,2.6472398438534315,20,200,201,220
block2,lightgbm_without_target_final,35,2.6267001762799786,20,200,201,220
block2,lightgbm_without_target_final,36,2.6992715267740035,20,200,201,220
block2,lightgbm_without_target_final,37,2.6359820468839246,20,200,201,220
block2,lightgbm_without_target_final,38,2.6472398438534315,20,200,201,220
block2,lightgbm_without_target_final,39,2.6267001762799786,20,200,201,220
block2,lightgbm_without_target_final,40,2.612602596648603,20,200,201,220
block2,lightgbm_without_target_final,41,2.6616967784755636,20,200,201,220
block2,lightgbm_without_target_final,42,2.6176316218769213,20,200,201,220
block2,lightgbm_without_target_final,43,2.662179629423585,20,200,201,220
block2,lightgbm_without_target_final,44,2.612602596648603,20,200,201,220
block2,lightgbm_without_target_final,45,2.6616967784755636,20,200,201,220
block2,lightgbm_without_target_final,46,2.6176316218769213,20,200,201,220
block2,lightgbm_without_target_final,47,2.662179629423585,20,200,201,220
block2,lightgbm_without_target_final,48,2.612602596648603,20,200,201,220
block2,lightgbm_without_target_final,49,2.6616967784755636,20,200,201,220
block2,lightgbm_without_target_final,50,2.6176316218769213,20,200,201,220
block2,lightgbm_without_target_final,51,2.662179629423585,20,200,201,220
block2,lightgbm_without_target_final,52,2.612602596648603,20,200,201,220
block2,lightgbm_without_target_final,53,2.6616967784755636,20,200,201,220
block2,lightgbm_without_target_final,54,2.6176316218769213,20,200,201,220
block2,lightgbm_without_target_final,55,2.662179629423585,20,200,201,220
block2,lightgbm_without_target_final,56,2.6613285229485992,20,200,201,220
block2,lightgbm_without_target_final,57,2.6357612803896124,20,200,201,220
block2,lightgbm_without_target_final,58,2.6371343219591328,20,200,201,220
block2,lightgbm_without_target_final,59,2.6153661738000515,20,200,201,220
block2,lightgbm_without_target_final,60,2.6613285229485992,20,200,201,220
block2,lightgbm_without_target_final,61,2.6357612803896124,20,200,201,220
block2,lightgbm_without_target_final,62,2.6371343219591328,20,200,201,220
block2,lightgbm_without_target_final,63,2.6153661738000515,20,200,201,220
block2,lightgbm_without_target_final,64,2.6613285229485992,20,200,201,220
block2,lightgbm_without_target_final,65,2.6357612803896124,20,200,201,220
block2,lightgbm_without_target_final,66,2.6371343219591328,20,200,201,220
block2,lightgbm_without_target_final,67,2.6153661738000515,20,200,201,220
block2,lightgbm_without_target_final,68,2.6613285229485992,20,200,201,220
block2,lightgbm_without_target_final,69,2.6357612803896124,20,200,201,220
block2,lightgbm_without_target_final,70,2.6371343219591328,20,200,201,220
block2,lightgbm_without_target_final,71,2.6153661738000515,20,200,201,220
block2,lightgbm_without_target_final,72,2.632931159942948,20,200,201,220
block2,lightgbm_without_target_final,73,2.644924451959336,20,200,201,220
block2,lightgbm_without_target_final,74,2.6496387457304884,20,200,201,220
block2,lightgbm_without_target_final,75,2.62315200798994,20,200,201,220
block2,lightgbm_without_target_final,76,2.632931159942948,20,200,201,220
block2,lightgbm_without_target_final,77,2.644924451959336,20,200,201,220
block2,lightgbm_without_target_final,78,2.6496387457304884,20,200,201,220
block2,lightgbm_without_target_final,79,2.62315200798994,20,200,201,220
block2,lightgbm_without_target_final,80,2.632931159942948,20,200,201,220
block2,lightgbm_without_target_final,81,2.644924451959336,20,200,201,220
block2,lightgbm_without_target_final,82,2.6496387457304884,20,200,201,220
block2,lightgbm_without_target_final,83,2.62315200798994,20,200,201,220
block2,lightgbm_without_target_final,84,2.632931159942948,20,200,201,220
block2,lightgbm_without_target_final,85,2.644924451959336,20,200,201,220
block2,lightgbm_without_target_final,86,2.6496387457304884,20,200,201,220
block2,lightgbm_without_target_final,87,2.62315200798994,20,200,201,220
block2,lightgbm_without_target_final,88,2.6380296104024072,20,200,201,220
block2,lightgbm_without_target_final,89,2.624537082633033,20,200,201,220
block2,lightgbm_without_target_final,90,2.6298792145929766,20,200,201,220
block2,lightgbm_without_target_final,91,2.606547374525669,20,200,201,220
block2,lightgbm_without_target_final,92,2.6380296104024072,20,200,201,220
block2,lightgbm_without_target_final,93,2.624537082633033,20,200,201,220
block2,lightgbm_without_target_final,94,2.6298792145929766,20,200,201,220
block2,lightgbm_without_target_final,95,2.606547374525669,20,200,201,220
block2,lightgbm_without_target_final,96,2.6380296104024072,20,200,201,220
block2,lightgbm_without_target_final,97,2.624537082633033,20,200,201,220
block2,lightgbm_without_target_final,98,2.6298792145929766,20,200,201,220
block2,lightgbm_without_target_final,99,2.606547374525669,20,200,201,220
block2,lightgbm_without_target_final,100,2.6380296104024072,20,200,201,220
block2,lightgbm_without_target_final,101,2.624537082633033,20,200,201,220
block2,lightgbm_without_target_final,102,2.6298792145929766,20,200,201,220
block2,lightgbm_without_target_final,103,2.606547374525669,20,200,201,220
block2,lightgbm_without_target_final,104,2.5839548541187622,20,200,201,220
block2,lightgbm_without_target_final,105,2.590178696090513,20,200,201,220
block2,lightgbm_without_target_final,106,2.5910432969755757,20,200,201,220
block2,lightgbm_without_target_final,107,2.5872661660823413,20,200,201,220
block2,lightgbm_without_target_final,108,2.5839548541187622,20,200,201,220
block2,lightgbm_without_target_final,109,2.590178696090513,20,200,201,220
block2,lightgbm_without_target_final,110,2.5910432969755757,20,200,201,220
block2,lightgbm_without_target_final,111,2.5872661660823413,20,200,201,220
block2,lightgbm_without_target_final,112,2.5839548541187622,20,200,201,220
block2,lightgbm_without_target_final,113,2.590178696090513,20,200,201,220
block2,lightgbm_without_target_final,114,2.5910432969755757,20,200,201,220
block2,lightgbm_without_target_final,115,2.5872661660823413,20,200,201,220
block2,lightgbm_without_target_final,116,2.5839548541187622,20,200,201,220
block2,lightgbm_without_target_final,117,2.590178696090513,20,200,201,220
block2,lightgbm_without_target_final,118,2.5910432969755757,20,200,201,220
block2,lightgbm_without_target_final,119,2.5872661660823413,20,200,201,220
block2,lightgbm_without_target_final,120,2.5868037078378037,20,200,201,220
block2,lightgbm_without_target_final,121,2.6184289130456433,20,200,201,220
block2,lightgbm_without_target_final,122,2.588696059775297,20,200,201,220
block2,lightgbm_without_target_final,123,2.581363936886246,20,200,201,220
block2,lightgbm_without_target_final,124,2.5868037078378037,20,200,201,220
block2,lightgbm_without_target_final,125,2.6184289130456433,20,200,201,220
block2,lightgbm_without_target_final,126,2.588696059775297,20,200,201,220
block2,lightgbm_without_target_final,127,2.581363936886246,20,200,201,220
block2,lightgbm_without_target_final,128,2.5868037078378037,20,200,201,220
block2,lightgbm_without_target_final,129,2.6184289130456433,20,200,201,220
block2,lightgbm_without_target_final,130,2.588696059775297,20,200,201,220
block2,lightgbm_without_target_final,131,2.581363936886246,20,200,201,220
block2,lightgbm_without_target_final,132,2.5868037078378037,20,200,201,220
block2,lightgbm_without_target_final,133,2.6184289130456433,20,200,201,220
block2,lightgbm_without_target_final,134,2.588696059775297,20,200,201,220
block2,lightgbm_without_target_final,135,2.581363936886246,20,200,201,220
block2,lightgbm_without_target_final,136,2.5895620132587824,20,200,201,220
block2,lightgbm_without_target_final,137,2.564796202946372,20,200,201,220
block2,lightgbm_without_target_final,138,2.5889932812208007,20,200,201,220
block2,lightgbm_without_target_final,139,2.585666871512779,20,200,201,220
block2,lightgbm_without_target_final,140,2.5895620132587824,20,200,201,220
block2,lightgbm_without_target_final,141,2.564796202946372,20,200,201,220
block2,lightgbm_without_target_final,142,2.5889932812208007,20,200,201,220
block2,lightgbm_without_target_final,143,2.585666871512779,20,200,201,220
block2,lightgbm_without_target_final,144,2.5895620132587824,20,200,201,220
block2,lightgbm_without_target_final,145,2.564796202946372,20,200,201,220
block2,lightgbm_without_target_final,146,2.5889932812208007,20,200,201,220
block2,lightgbm_without_target_final,147,2.585666871512779,20,200,201,220
block2,lightgbm_without_target_final,148,2.5895620132587824,20,200,201,220
block2,lightgbm_without_target_final,149,2.564796202946372,20,200,201,220
block2,lightgbm_without_target_final,150,2.5889932812208007,20,200,201,220
block2,lightgbm_without_target_final,151,2.585666871512779,20,200,201,220
block2,lightgbm_without_target_final,152,2.63027644940135,20,200,201,220
block2,lightgbm_without_target_final,153,2.631393350234483,20,200,201,220
block2,lightgbm_without_target_final,154,2.633820939143121,20,200,201,220
block2,lightgbm_without_target_final,155,2.63027644940135,20,200,201,220
block2,lightgbm_without_target_final,156,2.631393350234483,20,200,201,220
block2,lightgbm_without_target_final,157,2.633820939143121,20,200,201,220
