block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block1,sfm_with_target,1,1.1619887092817909,20,180,181,200
block1,sfm_with_target,2,1.161988225447488,20,180,181,200
block1,sfm_with_target,3,1.1619403345138557,20,180,181,200
block1,sfm_with_target,4,1.157236597371912,20,180,181,200
block1,sfm_with_target,5,1.0157588650829812,20,180,181,200
block1,sfm_with_target,6,1.1824725337672577,20,180,181,200
block1,sfm_with_target,7,1.1824719916585194,20,180,181,200
block1,sfm_with_target,8,1.1824183340211385,20,180,181,200
block1,sfm_with_target,9,1.1771615155115844,20,180,181,200
block1,sfm_with_target,10,1.012323459064362,20,180,181,200
block1,sfm_with_target,11,0.9453101753641711,20,180,181,200
block1,sfm_with_target,12,0.9453102015590331,20,180,181,200
block1,sfm_with_target,13,0.9453127949752765,20,180,181,200
block1,sfm_with_target,14,0.9455733666282243,20,180,181,200
block1,sfm_with_target,15,0.9741438548191637,20,180,181,200
block1,sfm_with_target,16,0.9357703038202039,20,180,181,200
block1,sfm_with_target,17,0.9357703012959243,20,180,181,200
block1,sfm_with_target,18,0.9357700516900647,20,180,181,200
block1,sfm_with_target,19,0.9357480393426055,20,180,181,200
block1,sfm_with_target,20,0.9472871802804386,20,180,181,200
block1,sfm_with_target,21,0.938724352991395,20,180,181,200
block1,sfm_with_target,22,0.9387243775488253,20,180,181,200
block1,sfm_with_target,23,0.9387268088852274,20,180,181,200
block1,sfm_with_target,24,0.9389714298305273,20,180,181,200
block1,sfm_with_target,25,0.9674048279374194,20,180,181,200
block1,sfm_with_target,26,0.9235192127466288,20,180,181,200
block1,sfm_with_target,27,0.9235192122140407,20,180,181,200
block1,sfm_with_target,28,0.9235191597781789,20,180,181,200
block1,sfm_with_target,29,0.9235167908254227,20,180,181,200
block1,sfm_with_target,30,0.9366156461583858,20,180,181,200
block1,sfm_with_target,31,2.4656332284743687,20,180,181,200
block1,sfm_with_target,32,2.4656333042289176,20,180,181,200
