block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block1,sfm_without_target,1,1.0777929248368268,20,180,181,200
block1,sfm_without_target,2,1.0777929167247766,20,180,181,200
block1,sfm_without_target,3,1.0777921136413708,20,180,181,200
block1,sfm_without_target,4,1.077711900849072,20,180,181,200
block1,sfm_without_target,5,1.0705235018797914,20,180,181,200
block1,sfm_without_target,6,1.0544228525759498,20,180,181,200
block1,sfm_without_target,7,1.05442284683814,20,180,181,200
block1,sfm_without_target,8,1.054422278804526,20,180,181,200
block1,sfm_without_target,9,1.0543655708657869,20,180,181,200
block1,sfm_without_target,10,1.0494751695084281,20,180,181,200
block1,sfm_without_target,11,1.0976991643578293,20,180,181,200
block1,sfm_without_target,12,1.09769910828396,20,180,181,200
block1,sfm_without_target,13,1.0976935575785518,20,180,181,200
block1,sfm_without_target,14,1.097144513591602,20,180,181,200
block1,sfm_without_target,15,1.0742275110660924,20,180,181,200
block1,sfm_without_target,16,1.1180695676976313,20,180,181,200
block1,sfm_without_target,17,1.1180694597939562,20,180,181,200
block1,sfm_without_target,18,1.1180587785539364,20,180,181,200
block1,sfm_without_target,19,1.117002774024816,20,180,181,200
block1,sfm_without_target,20,1.0716665238443828,20,180,181,200
block1,sfm_without_target,21,1.9153910992745433,20,180,181,200
block1,sfm_without_target,22,1.915390229481136,20,180,181,200
block1,sfm_without_target,23,1.915304125733152,20,180,181,200
block1,sfm_without_target,24,1.9067513986094746,20,180,181,200
block1,sfm_without_target,25,1.4115554494813303,20,180,181,200
block1,sfm_without_target,26,1.8845820373742577,20,180,181,200
block1,sfm_without_target,27,1.8845811848566776,20,180,181,200
block1,sfm_without_target,28,1.8844967917049467,20,180,181,200
block1,sfm_without_target,29,1.8761179448302108,20,180,181,200
block1,sfm_without_target,30,1.399566617515633,20,180,181,200
block1,sfm_without_target,31,1.106429164456737,20,180,181,200
block1,sfm_without_target,32,1.1064291537422362,20,180,181,200
block1,sfm_without_target,33,1.1064280930166273,20,180,181,200
block1,sfm_without_target,34,1.1063221199437994,20,180,181,200
block1,sfm_without_target,35,1.0966289272088376,20,180,181,200
block1,sfm_without_target,36,1.0629605529302093,20,180,181,200
block1,sfm_without_target,37,1.062960545850065,20,180,181,200
block1,sfm_without_target,38,1.062959844928276,20,180,181,200
block1,sfm_without_target,39,1.0628898776063482,20,180,181,200
block1,sfm_without_target,40,1.0569221712286274,20,180,181,200
block1,sfm_without_target,41,1.0434872057096403,20,180,181,200
block1,sfm_without_target,42,1.0434872177528596,20,180,181,200
block1,sfm_without_target,43,1.0434884100612325,20,180,181,200
block1,sfm_without_target,44,1.0436079300477756,20,180,181,200
block1,sfm_without_target,45,1.0551144248979518,20,180,181,200
block1,sfm_without_target,46,1.016066429523537,20,180,181,200
block1,sfm_without_target,47,1.0160664327416964,20,180,181,200
block1,sfm_without_target,48,1.0160667518907132,20,180,181,200
block1,sfm_without_target,49,1.0161040631201843,20,180,181,200
block1,sfm_without_target,50,1.0318399257569746,20,180,181,200
block1,sfm_without_target,51,1.5194463028733314,20,180,181,200
block1,sfm_without_target,52,1.5194457384496622,20,180,181,200
block1,sfm_without_target,53,1.5193898646710704,20,180,181,200
block1,sfm_without_target,54,1.513843874141591,20,180,181,200
block1,sfm_without_target,55,1.2112151672377398,20,180,181,200
block1,sfm_without_target,56,1.4881792319462972,20,180,181,200
block1,sfm_without_target,57,1.4881787291850708,20,180,181,200
block1,sfm_without_target,58,1.4881289599528906,20,180,181,200
block1,sfm_without_target,59,1.4831929947180746,20,180,181,200
block1,sfm_without_target,60,1.2184368800030092,20,180,181,200
block1,sfm_without_target,61,0.9960797667746848,20,180,181,200
block1,sfm_without_target,62,0.9960797629766,20,180,181,200
block1,sfm_without_target,63,0.9960793869736572,20,180,181,200
block1,sfm_without_target,64,0.9960418612144805,20,180,181,200
block1,sfm_without_target,65,0.9929405381907623,20,180,181,200
block1,sfm_without_target,66,1.0569402348996981,20,180,181,200
block1,sfm_without_target,67,1.056940233551123,20,180,181,200
block1,sfm_without_target,68,1.056940100040775,20,180,181,200
block1,sfm_without_target,69,1.0569267350460625,20,180,181,200
block1,sfm_without_target,70,1.0554867536718584,20,180,181,200
block1,sfm_without_target,71,1.0474135590016962,20,180,181,200
block1,sfm_without_target,72,1.047413482928437,20,180,181,200
block1,sfm_without_target,73,1.0474059526623878,20,180,181,200
block1,sfm_without_target,74,1.046662707489845,20,180,181,200
block1,sfm_without_target,75,1.0225839230739044,20,180,181,200
block1,sfm_without_target,76,1.0950618655046243,20,180,181,200
block1,sfm_without_target,77,1.0950618042261826,20,180,181,200
block1,sfm_without_target,78,1.0950557380856645,20,180,181,200
block1,sfm_without_target,79,1.0944533522040811,20,180,181,200
block1,sfm_without_target,80,1.0613786853903016,20,180,181,200
block1,sfm_without_target,81,1.658623131398418,20,180,181,200
block1,sfm_without_target,82,1.6586224660376145,20,180,181,200
block1,sfm_without_target,83,1.6585566000097556,20,180,181,200
block1,sfm_without_target,84,1.6520166265520204,20,180,181,200
block1,sfm_without_target,85,1.285165927787502,20,180,181,200
block1,sfm_without_target,86,1.6238288420497362,20,180,181,200
block1,sfm_without_target,87,1.6238281026770818,20,180,181,200
block1,sfm_without_target,88,1.623754911042643,20,180,181,200
block1,sfm_without_target,89,1.616497846597471,20,180,181,200
block1,sfm_without_target,90,1.2397727242064214,20,180,181,200
block1,sfm_without_target,91,0.9993300470796838,20,180,181,200
block1,sfm_without_target,92,0.9993300434902561,20,180,181,200
block1,sfm_without_target,93,0.9993296881420064,20,180,181,200
block1,sfm_without_target,94,0.9992942042067902,20,180,181,200
block1,sfm_without_target,95,0.9962025965792581,20,180,181,200
block1,sfm_without_target,96,1.0518939107715768,20,180,181,200
block1,sfm_without_target,97,1.0518939093984057,20,180,181,200
block1,sfm_without_target,98,1.0518937734532605,20,180,181,200
block1,sfm_without_target,99,1.0518801666725048,20,180,181,200
block1,sfm_without_target,100,1.050424439573961,20,180,181,200
block1,sfm_without_target,101,1.2356189394002217,20,180,181,200
block1,sfm_without_target,102,1.2356188071862082,20,180,181,200
block1,sfm_without_target,103,1.2356057189926062,20,180,181,200
block1,sfm_without_target,104,1.2343067679168116,20,180,181,200
block1,sfm_without_target,105,1.1622224751047217,20,180,181,200
block1,sfm_without_target,106,1.1796551518933354,20,180,181,200
block1,sfm_without_target,107,1.1796550564599833,20,180,181,200
block1,sfm_without_target,108,1.1796456092114895,20,180,181,200
block1,sfm_without_target,109,1.178707376938994,20,180,181,200
block1,sfm_without_target,110,1.1245990808409156,20,180,181,200
block1,sfm_without_target,111,1.4469668867772885,20,180,181,200
block1,sfm_without_target,112,1.4469665627861195,20,180,181,200
block1,sfm_without_target,113,1.4469344899645418,20,180,181,200
block1,sfm_without_target,114,1.4437501000788537,20,180,181,200
block1,sfm_without_target,115,1.2630796913510765,20,180,181,200
block1,sfm_without_target,116,1.428937187493212,20,180,181,200
block1,sfm_without_target,117,1.428936870167967,20,180,181,200
block1,sfm_without_target,118,1.428905457358841,20,180,181,200
block1,sfm_without_target,119,1.4257879085766139,20,180,181,200
block1,sfm_without_target,120,1.2521147132287545,20,180,181,200
