block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block3,svr_dynamic_fi,1,1.6107167307988948,20,220,221,240
block3,svr_dynamic_fi,2,1.6111277110570692,20,220,221,240
block3,svr_dynamic_fi,3,1.6440852118417497,20,220,221,240
block3,svr_dynamic_fi,4,1.6220238225300354,20,220,221,240
block3,svr_dynamic_fi,5,1.639614345823438,20,220,221,240
block3,svr_dynamic_fi,1,1.6107167307988948,20,220,221,240
block3,svr_dynamic_fi,2,1.6111277110570692,20,220,221,240
block3,svr_dynamic_fi,3,1.6440852118417497,20,220,221,240
block3,svr_dynamic_fi,4,1.6220238225300354,20,220,221,240
block3,svr_dynamic_fi,5,1.639614345823438,20,220,221,240
