block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block3,svr_with_target,1,1.6891673626053247,20,220,221,240
block3,svr_with_target,2,1.7165083981649747,20,220,221,240
block3,svr_with_target,3,1.7165083981649747,20,220,221,240
block3,svr_with_target,4,1.682988625047069,20,220,221,240
block3,svr_with_target,5,1.7161083707369569,20,220,221,240
block3,svr_with_target,6,1.7147808334702594,20,220,221,240
block3,svr_with_target,7,1.7149642223944612,20,220,221,240
block3,svr_with_target,8,1.7147919497165531,20,220,221,240
block3,svr_with_target,9,1.7165957709131574,20,220,221,240
block3,svr_with_target,10,1.7165083981649747,20,220,221,240
block3,svr_with_target,11,1.624866049800865,20,220,221,240
block3,svr_with_target,12,1.71604043620799,20,220,221,240
block3,svr_with_target,13,1.7146237322992477,20,220,221,240
block3,svr_with_target,14,1.7147919497165338,20,220,221,240
block3,svr_with_target,15,1.7147096684892698,20,220,221,240
