block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block2,svr_without_target,1,2.5094311243708542,20,200,201,220
block2,svr_without_target,2,2.5717939065058633,20,200,201,220
block2,svr_without_target,3,2.530941590827979,20,200,201,220
block2,svr_without_target,4,2.6351693204539264,20,200,201,220
block2,svr_without_target,5,2.574566096451492,20,200,201,220
block2,svr_without_target,6,2.553140994625035,20,200,201,220
block2,svr_without_target,7,2.5430187344662123,20,200,201,220
block2,svr_without_target,8,2.5264088411550114,20,200,201,220
block2,svr_without_target,9,2.5553485126500792,20,200,201,220
block2,svr_without_target,10,2.53726327818131,20,200,201,220
block2,svr_without_target,11,2.4988453400494994,20,200,201,220
block2,svr_without_target,12,2.5891303509213017,20,200,201,220
block2,svr_without_target,13,2.5891303509213017,20,200,201,220
block2,svr_without_target,14,2.566390246246236,20,200,201,220
block2,svr_without_target,15,2.589016517545445,20,200,201,220
block2,svr_without_target,16,2.5890177476229015,20,200,201,220
block2,svr_without_target,17,2.589011964801397,20,200,201,220
block2,svr_without_target,18,2.6191455285953738,20,200,201,220
block2,svr_without_target,19,2.642232171570699,20,200,201,220
block2,svr_without_target,20,2.62396538161423,20,200,201,220
block2,svr_without_target,21,2.5655691666908367,20,200,201,220
block2,svr_without_target,22,2.5652247691734527,20,200,201,220
block2,svr_without_target,23,2.5519078454464372,20,200,201,220
block2,svr_without_target,24,2.532298313244894,20,200,201,220
block2,svr_without_target,25,2.531793254268766,20,200,201,220
block2,svr_without_target,26,2.569481964110172,20,200,201,220
block2,svr_without_target,27,2.614248099670432,20,200,201,220
block2,svr_without_target,28,2.614776490091551,20,200,201,220
block2,svr_without_target,29,2.5882601216282692,20,200,201,220
block2,svr_without_target,30,2.5891303509213017,20,200,201,220
block2,svr_without_target,31,2.6534563197446364,20,200,201,220
block2,svr_without_target,32,2.673470725345762,20,200,201,220
block2,svr_without_target,33,2.58812082913112,20,200,201,220
block2,svr_without_target,34,2.589009710484118,20,200,201,220
