t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,baseline_ar1,1,0.2834434028476212,1,1,1,0.0,False,decayed_best,24,0.97
241,baseline_ar1,1,0.19912117707989618,2,1,1,0.0,False,decayed_best,24,0.97
242,baseline_ar1,1,0.501211363685658,3,1,1,0.0,False,decayed_best,24,0.97
243,baseline_ar1,1,0.8564680956598253,4,1,1,0.0,False,decayed_best,24,0.97
244,baseline_ar1,1,1.46337208352012,5,1,1,0.0,False,decayed_best,24,0.97
245,baseline_ar1,1,1.3361189715016712,6,1,1,0.0,False,decayed_best,24,0.97
246,baseline_ar1,1,1.4187703014424833,7,1,1,0.0,False,decayed_best,24,0.97
247,baseline_ar1,1,1.3711210361224933,8,1,1,0.0,False,decayed_best,24,0.97
248,baseline_ar1,1,1.289376201764951,9,1,1,0.0,False,decayed_best,24,0.97
249,baseline_ar1,1,1.2884162719089902,10,1,1,0.0,False,decayed_best,24,0.97
250,baseline_ar1,1,1.2188098007506731,11,1,1,0.0,False,decayed_best,24,0.97
251,baseline_ar1,1,1.1841053331267346,12,1,1,0.0,False,decayed_best,24,0.97
252,baseline_ar1,1,1.2605807460130172,13,1,1,0.0,False,decayed_best,24,0.97
253,baseline_ar1,1,1.3035846315075403,14,1,1,0.0,False,decayed_best,24,0.97
254,baseline_ar1,1,1.311835252401202,15,1,1,0.0,False,decayed_best,24,0.97
255,baseline_ar1,1,1.2797138483493984,16,1,1,0.0,False,decayed_best,24,0.97
256,baseline_ar1,1,1.2380311562069228,17,1,1,0.0,False,decayed_best,24,0.97
257,baseline_ar1,1,1.1932445893914074,18,1,1,0.0,False,decayed_best,24,0.97
258,baseline_ar1,1,1.1770547142404242,19,1,1,0.0,False,decayed_best,24,0.97
259,baseline_ar1,1,1.2228055230900483,20,1,1,0.0,False,decayed_best,24,0.97
260,baseline_ar1,1,1.2113795773930083,21,1,1,0.0,False,decayed_best,24,0.97
261,baseline_ar1,1,1.1735842262249123,22,1,1,0.0,False,decayed_best,24,0.97
262,baseline_ar1,1,1.1550119159790257,23,1,1,0.0,False,decayed_best,24,0.97
263,baseline_ar1,1,1.1223941464276603,24,1,1,0.0,False,decayed_best,24,0.97
264,baseline_ar1,1,1.1412986446315825,25,1,1,0.0,False,decayed_best,24,0.97
265,baseline_ar1,1,1.1433017866765094,26,1,1,0.0,False,decayed_best,24,0.97
266,baseline_ar1,1,1.1450407811636278,27,1,1,0.0,False,decayed_best,24,0.97
267,baseline_ar1,1,1.1683359012476755,28,1,1,0.0,False,decayed_best,24,0.97
268,baseline_ar1,1,1.0843511558016379,29,1,1,0.0,False,decayed_best,24,0.97
269,baseline_ar1,1,1.1163496658195777,30,1,1,0.0,False,decayed_best,24,0.97
270,baseline_ar1,1,1.0587131685185263,31,1,1,0.0,False,decayed_best,24,0.97
