t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,baseline_mean,1,0.2067818819125518,1,1,1,0.0,False,decayed_best,24,0.97
241,baseline_mean,1,0.14509964812248446,2,1,1,0.0,False,decayed_best,24,0.97
242,baseline_mean,1,0.49337418125471,3,1,1,0.0,False,decayed_best,24,0.97
243,baseline_mean,1,0.8864420764940386,4,1,1,0.0,False,decayed_best,24,0.97
244,baseline_mean,1,1.5422669890554281,5,1,1,0.0,False,decayed_best,24,0.97
245,baseline_mean,1,1.428869640596624,6,1,1,0.0,False,decayed_best,24,0.97
246,baseline_mean,1,1.4768178443945876,7,1,1,0.0,False,decayed_best,24,0.97
247,baseline_mean,1,1.4444330356797053,8,1,1,0.0,False,decayed_best,24,0.97
248,baseline_mean,1,1.362960763993463,9,1,1,0.0,False,decayed_best,24,0.97
249,baseline_mean,1,1.3468677654380055,10,1,1,0.0,False,decayed_best,24,0.97
250,baseline_mean,1,1.2757113815386634,11,1,1,0.0,False,decayed_best,24,0.97
251,baseline_mean,1,1.2380051378229653,12,1,1,0.0,False,decayed_best,24,0.97
252,baseline_mean,1,1.3201033280379793,13,1,1,0.0,False,decayed_best,24,0.97
253,baseline_mean,1,1.3814565934606466,14,1,1,0.0,False,decayed_best,24,0.97
254,baseline_mean,1,1.4047230928144168,15,1,1,0.0,False,decayed_best,24,0.97
255,baseline_mean,1,1.3780048394351962,16,1,1,0.0,False,decayed_best,24,0.97
256,baseline_mean,1,1.3363040196709945,17,1,1,0.0,False,decayed_best,24,0.97
257,baseline_mean,1,1.2882197701365439,18,1,1,0.0,False,decayed_best,24,0.97
258,baseline_mean,1,1.2658781904915106,19,1,1,0.0,False,decayed_best,24,0.97
259,baseline_mean,1,1.2923127876434528,20,1,1,0.0,False,decayed_best,24,0.97
260,baseline_mean,1,1.2673077463012665,21,1,1,0.0,False,decayed_best,24,0.97
261,baseline_mean,1,1.2281234323811943,22,1,1,0.0,False,decayed_best,24,0.97
262,baseline_mean,1,1.207468958961885,23,1,1,0.0,False,decayed_best,24,0.97
263,baseline_mean,1,1.174749879348068,24,1,1,0.0,False,decayed_best,24,0.97
264,baseline_mean,1,1.1897751242396786,25,1,1,0.0,False,decayed_best,24,0.97
265,baseline_mean,1,1.1849127604734047,26,1,1,0.0,False,decayed_best,24,0.97
266,baseline_mean,1,1.1895306996658865,27,1,1,0.0,False,decayed_best,24,0.97
267,baseline_mean,1,1.2198491204074684,28,1,1,0.0,False,decayed_best,24,0.97
