t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,baseline_rw,1,0.3076923076923047,1,1,1,0.0,False,decayed_best,24,0.97
241,baseline_rw,1,0.22786726641834207,2,1,1,0.0,False,decayed_best,24,0.97
242,baseline_rw,1,0.5695754336780959,3,1,1,0.0,False,decayed_best,24,0.97
243,baseline_rw,1,0.8744752992118041,4,1,1,0.0,False,decayed_best,24,0.97
244,baseline_rw,1,1.5763647595162973,5,1,1,0.0,False,decayed_best,24,0.97
245,baseline_rw,1,1.4501311688938006,6,1,1,0.0,False,decayed_best,24,0.97
246,baseline_rw,1,1.4753676118587506,7,1,1,0.0,False,decayed_best,24,0.97
247,baseline_rw,1,1.4554588995527102,8,1,1,0.0,False,decayed_best,24,0.97
248,baseline_rw,1,1.3687848774883506,9,1,1,0.0,False,decayed_best,24,0.97
249,baseline_rw,1,1.3418509971525272,10,1,1,0.0,False,decayed_best,24,0.97
250,baseline_rw,1,1.273077106554251,11,1,1,0.0,False,decayed_best,24,0.97
251,baseline_rw,1,1.2295134451822285,12,1,1,0.0,False,decayed_best,24,0.97
252,baseline_rw,1,1.3262987131363053,13,1,1,0.0,False,decayed_best,24,0.97
253,baseline_rw,1,1.3747229937904086,14,1,1,0.0,False,decayed_best,24,0.97
254,baseline_rw,1,1.408167544961323,15,1,1,0.0,False,decayed_best,24,0.97
255,baseline_rw,1,1.3756736058212105,16,1,1,0.0,False,decayed_best,24,0.97
256,baseline_rw,1,1.337719874240545,17,1,1,0.0,False,decayed_best,24,0.97
257,baseline_rw,1,1.2892997736853136,18,1,1,0.0,False,decayed_best,24,0.97
258,baseline_rw,1,1.2622212507170691,19,1,1,0.0,False,decayed_best,24,0.97
259,baseline_rw,1,1.2811105271035137,20,1,1,0.0,False,decayed_best,24,0.97
260,baseline_rw,1,1.2530661130967025,21,1,1,0.0,False,decayed_best,24,0.97
261,baseline_rw,1,1.2150599893189191,22,1,1,0.0,False,decayed_best,24,0.97
262,baseline_rw,1,1.191571635955642,23,1,1,0.0,False,decayed_best,24,0.97
263,baseline_rw,1,1.1609528632159585,24,1,1,0.0,False,decayed_best,24,0.97
264,baseline_rw,1,1.1810770863936868,25,1,1,0.0,False,decayed_best,24,0.97
265,baseline_rw,1,1.1797927307114189,26,1,1,0.0,False,decayed_best,24,0.97
266,baseline_rw,1,1.1775947829913733,27,1,1,0.0,False,decayed_best,24,0.97
267,baseline_rw,1,1.2198379248018658,28,1,1,0.0,False,decayed_best,24,0.97
268,baseline_rw,1,1.1260723804108408,29,1,1,0.0,False,decayed_best,24,0.97
269,baseline_rw,1,1.1725465475079153,30,1,1,0.0,False,decayed_best,24,0.97
270,baseline_rw,1,1.1256835015647628,31,1,1,0.0,False,decayed_best,24,0.97
271,baseline_rw,1,1.0961054463342974,32,1,1,0.0,False,decayed_best,24,0.97
272,baseline_rw,1,1.1460953689176876,33,1,1,0.0,False,decayed_best,24,0.97
273,baseline_rw,1,1.1157696776816255,34,1,1,0.0,False,decayed_best,24,0.97
274,baseline_rw,1,1.1000652829182673,35,1,1,0.0,False,decayed_best,24,0.97
275,baseline_rw,1,1.0768880941180405,36,1,1,0.0,False,decayed_best,24,0.97
276,baseline_rw,1,1.0041358086261594,37,1,1,0.0,False,decayed_best,24,0.97
277,baseline_rw,1,0.9445123036283908,38,1,1,0.0,False,decayed_best,24,0.97
278,baseline_rw,1,0.9045810929073194,39,1,1,0.0,False,decayed_best,24,0.97
279,baseline_rw,1,0.8810279606174897,40,1,1,0.0,False,decayed_best,24,0.97
280,baseline_rw,1,0.9333429051510366,41,1,1,0.0,False,decayed_best,24,0.97
281,baseline_rw,1,1.2108894521991178,42,1,1,0.0,False,decayed_best,24,0.97
282,baseline_rw,1,1.3035700086931348,43,1,1,0.0,False,decayed_best,24,0.97
283,baseline_rw,1,1.2593378165473588,44,1,1,0.0,False,decayed_best,24,0.97
284,baseline_rw,1,1.2344311161107286,45,1,1,0.0,False,decayed_best,24,0.97
285,baseline_rw,1,1.274987030352174,46,1,1,0.0,False,decayed_best,24,0.97
286,baseline_rw,1,1.3062060100305901,47,1,1,0.0,False,decayed_best,24,0.97
287,baseline_rw,1,1.2881834579313993,48,1,1,0.0,False,decayed_best,24,0.97
288,baseline_rw,1,1.2517129254088462,49,1,1,0.0,False,decayed_best,24,0.97
289,baseline_rw,1,1.236580749144332,50,1,1,0.0,False,decayed_best,24,0.97
290,baseline_rw,1,1.2068915352940957,51,1,1,0.0,False,decayed_best,24,0.97
291,baseline_rw,1,1.149899579560499,52,1,1,0.0,False,decayed_best,24,0.97
292,baseline_rw,1,1.1659849698704756,53,1,1,0.0,False,decayed_best,24,0.97
293,baseline_rw,1,1.210498867437443,54,1,1,0.0,False,decayed_best,24,0.97
294,baseline_rw,1,1.1913800731271085,55,1,1,0.0,False,decayed_best,24,0.97
295,baseline_rw,1,1.1810289583408937,56,1,1,0.0,False,decayed_best,24,0.97
296,baseline_rw,1,1.1513152826143809,57,1,1,0.0,False,decayed_best,24,0.97
297,baseline_rw,1,1.145253713589665,58,1,1,0.0,False,decayed_best,24,0.97
298,baseline_rw,1,1.2147906828789035,59,1,1,0.0,False,decayed_best,24,0.97
299,baseline_rw,1,1.1964300694621108,60,1,1,0.0,False,decayed_best,24,0.97
300,baseline_rw,1,1.196970048240518,61,1,1,0.0,False,decayed_best,24,0.97
301,baseline_rw,1,1.1816081493556962,62,1,1,0.0,False,decayed_best,24,0.97
