t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,elastic_net,1,0.18983542463231518,1,5,5,0.0,True,decayed_best,24,0.97
240,elastic_net,2,0.3002002693289423,1,5,5,0.0,True,decayed_best,24,0.97
240,elastic_net,3,0.07702971054407759,1,5,5,0.0,True,decayed_best,24,0.97
240,elastic_net,4,0.6327230258558465,1,5,5,0.0,True,decayed_best,24,0.97
240,elastic_net,5,0.03499675630490018,1,5,5,0.8156468616293084,True,decayed_best,24,0.97
241,elastic_net,1,0.6100123962041956,2,3,3,0.0,True,decayed_best,24,0.97
241,elastic_net,2,0.6524256392746338,2,3,3,0.0,True,decayed_best,24,0.97
241,elastic_net,3,0.08679193553685535,2,3,3,0.6962643759408468,True,decayed_best,24,0.97
241,elastic_net,4,0.7285156747609027,2,3,3,0.0,True,decayed_best,24,0.97
241,elastic_net,5,0.28574829115188816,2,3,3,0.0,True,decayed_best,24,0.97
242,elastic_net,1,0.5012990700019498,3,3,3,0.0,False,decayed_best,24,0.97
242,elastic_net,2,0.5474321811644027,3,3,3,0.0,False,decayed_best,24,0.97
242,elastic_net,3,0.1001031847371741,3,3,3,0.0,False,decayed_best,24,0.97
242,elastic_net,4,0.6592261176482916,3,3,3,0.0,False,decayed_best,24,0.97
242,elastic_net,5,0.25374380666131785,3,3,3,0.0,False,decayed_best,24,0.97
243,elastic_net,1,1.0630673145090905,4,4,4,0.0,True,decayed_best,24,0.97
243,elastic_net,2,1.036931742987566,4,4,4,0.0,True,decayed_best,24,0.97
243,elastic_net,3,1.2085364148682736,4,4,4,0.0,True,decayed_best,24,0.97
243,elastic_net,4,1.0295233251272167,4,4,4,0.14812386911863862,True,decayed_best,24,0.97
243,elastic_net,5,1.3281253628823273,4,4,4,0.0,True,decayed_best,24,0.97
244,elastic_net,1,1.5243164619593204,5,1,1,0.0917169091380654,True,decayed_best,24,0.97
244,elastic_net,2,1.5657692832856889,5,1,1,0.0,True,decayed_best,24,0.97
244,elastic_net,3,1.569763238956251,5,1,1,0.0,True,decayed_best,24,0.97
244,elastic_net,4,1.6782393917658291,5,1,1,0.0,True,decayed_best,24,0.97
244,elastic_net,5,1.5954278003814186,5,1,1,0.0,True,decayed_best,24,0.97
245,elastic_net,1,1.465007900301885,6,1,1,0.0,False,decayed_best,24,0.97
245,elastic_net,2,1.4883327270580151,6,1,1,0.0,False,decayed_best,24,0.97
245,elastic_net,3,1.467778972415671,6,1,1,0.0,False,decayed_best,24,0.97
245,elastic_net,4,1.5586794553919936,6,1,1,0.0,False,decayed_best,24,0.97
245,elastic_net,5,1.617003239407729,6,1,1,0.0,False,decayed_best,24,0.97
246,elastic_net,1,1.4525209188163695,7,3,3,0.0,True,decayed_best,24,0.97
246,elastic_net,2,1.4671780613945213,7,3,3,0.0,True,decayed_best,24,0.97
246,elastic_net,3,1.4335886519081495,7,3,3,0.013034075215692886,True,decayed_best,24,0.97
246,elastic_net,4,1.5340205900833446,7,3,3,0.0,True,decayed_best,24,0.97
246,elastic_net,5,1.5691522352229972,7,3,3,0.0,True,decayed_best,24,0.97
247,elastic_net,1,1.3850263987979194,8,1,1,0.03382963857602406,True,decayed_best,24,0.97
247,elastic_net,2,1.4007250669739737,8,1,1,0.0,True,decayed_best,24,0.97
247,elastic_net,3,1.4335219274959115,8,1,1,0.0,True,decayed_best,24,0.97
247,elastic_net,4,1.4579447471828177,8,1,1,0.0,True,decayed_best,24,0.97
247,elastic_net,5,1.530219381495886,8,1,1,0.0,True,decayed_best,24,0.97
248,elastic_net,1,1.2970792048484914,9,1,1,0.0,False,decayed_best,24,0.97
248,elastic_net,2,1.310470263116435,9,1,1,0.0,False,decayed_best,24,0.97
248,elastic_net,3,1.3408446862667067,9,1,1,0.0,False,decayed_best,24,0.97
248,elastic_net,4,1.3664200757540028,9,1,1,0.0,False,decayed_best,24,0.97
248,elastic_net,5,1.4313930620369495,9,1,1,0.0,False,decayed_best,24,0.97
249,elastic_net,1,1.2324960516013121,10,1,1,0.0,False,decayed_best,24,0.97
249,elastic_net,2,1.24718593442843,10,1,1,0.0,False,decayed_best,24,0.97
249,elastic_net,3,1.2667032929614344,10,1,1,0.0,False,decayed_best,24,0.97
249,elastic_net,4,1.3110659410306484,10,1,1,0.0,False,decayed_best,24,0.97
249,elastic_net,5,1.3507504235331884,10,1,1,0.0,False,decayed_best,24,0.97
250,elastic_net,1,1.1661854283642217,11,1,1,0.0,False,decayed_best,24,0.97
250,elastic_net,2,1.1796972318947443,11,1,1,0.0,False,decayed_best,24,0.97
250,elastic_net,3,1.2024085548489034,11,1,1,0.0,False,decayed_best,24,0.97
250,elastic_net,4,1.240067023328504,11,1,1,0.0,False,decayed_best,24,0.97
250,elastic_net,5,1.2776416331795093,11,1,1,0.0,False,decayed_best,24,0.97
251,elastic_net,1,1.1329744719695265,12,1,1,0.0,False,decayed_best,24,0.97
251,elastic_net,2,1.1477473807398386,12,1,1,0.0,False,decayed_best,24,0.97
251,elastic_net,3,1.176584976791788,12,1,1,0.0,False,decayed_best,24,0.97
251,elastic_net,4,1.2111357215345073,12,1,1,0.0,False,decayed_best,24,0.97
