t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,elastic_net,1,0.3002002693289423,1,3,3,0.0,True,decayed_best,24,0.97
240,elastic_net,2,0.07702971054407759,1,3,3,0.0,True,decayed_best,24,0.97
240,elastic_net,3,0.06067628349440468,1,3,3,0.7978806493743712,True,decayed_best,24,0.97
240,elastic_net,4,0.24751165523955596,1,3,3,0.0,True,decayed_best,24,0.97
240,elastic_net,5,0.9134294079489949,1,3,3,0.0,True,decayed_best,24,0.97
241,elastic_net,1,0.6524256392746338,2,2,2,0.0,True,decayed_best,24,0.97
241,elastic_net,2,0.08679193553685535,2,2,2,0.7038830513384488,True,decayed_best,24,0.97
241,elastic_net,3,0.29310019547734417,2,2,2,0.0,True,decayed_best,24,0.97
241,elastic_net,4,0.22598401965379153,2,2,2,0.0,True,decayed_best,24,0.97
241,elastic_net,5,0.6418135328296253,2,2,2,0.0,True,decayed_best,24,0.97
242,elastic_net,1,0.5474321811644027,3,2,2,0.0,False,decayed_best,24,0.97
242,elastic_net,2,0.1001031847371741,3,2,2,0.0,False,decayed_best,24,0.97
242,elastic_net,3,0.2493389764942413,3,2,2,0.0,False,decayed_best,24,0.97
242,elastic_net,4,0.20963932071995905,3,2,2,0.0,False,decayed_best,24,0.97
242,elastic_net,5,0.6639926473181986,3,2,2,0.0,False,decayed_best,24,0.97
243,elastic_net,1,1.036931742987566,4,1,1,0.14199379494858821,True,decayed_best,24,0.97
243,elastic_net,2,1.2085364148682736,4,1,1,0.0,True,decayed_best,24,0.97
243,elastic_net,3,1.3549301337218227,4,1,1,0.0,True,decayed_best,24,0.97
243,elastic_net,4,1.3231941744111149,4,1,1,0.0,True,decayed_best,24,0.97
243,elastic_net,5,1.1901715488063045,4,1,1,0.0,True,decayed_best,24,0.97
244,elastic_net,1,1.5657692832856889,5,1,1,0.0,False,decayed_best,24,0.97
244,elastic_net,2,1.569763238956251,5,1,1,0.0,False,decayed_best,24,0.97
244,elastic_net,3,1.6047326589929243,5,1,1,0.0,False,decayed_best,24,0.97
244,elastic_net,4,1.5914476626907683,5,1,1,0.0,False,decayed_best,24,0.97
244,elastic_net,5,1.6565139152086732,5,1,1,0.0,False,decayed_best,24,0.97
245,elastic_net,1,1.4883327270580151,6,2,2,0.0,True,decayed_best,24,0.97
245,elastic_net,2,1.467778972415671,6,2,2,0.013809919158985884,True,decayed_best,24,0.97
245,elastic_net,3,1.6185331068846072,6,2,2,0.0,True,decayed_best,24,0.97
245,elastic_net,4,1.590947279449933,6,2,2,0.0,True,decayed_best,24,0.97
245,elastic_net,5,1.564934373285829,6,2,2,0.0,True,decayed_best,24,0.97
246,elastic_net,1,1.4671780613945213,7,2,2,0.0,False,decayed_best,24,0.97
246,elastic_net,2,1.4335886519081495,7,2,2,0.0,False,decayed_best,24,0.97
