t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,extra_trees,1,0.2060514774783596,1,5,5,0.0,True,decayed_best,24,0.97
240,extra_trees,2,0.23143381227063153,1,5,5,0.0,True,decayed_best,24,0.97
240,extra_trees,3,0.1537387279888423,1,5,5,0.0,True,decayed_best,24,0.97
240,extra_trees,4,0.19807634516750583,1,5,5,0.0,True,decayed_best,24,0.97
240,extra_trees,5,0.14708226594438933,1,5,5,0.2861867930074099,True,decayed_best,24,0.97
241,extra_trees,1,0.17080621549294667,2,5,5,0.0,False,decayed_best,24,0.97
241,extra_trees,2,0.17631619941740223,2,5,5,0.0,False,decayed_best,24,0.97
241,extra_trees,3,0.15536838120707375,2,5,5,0.0,False,decayed_best,24,0.97
241,extra_trees,4,0.15189109155737507,2,5,5,0.0,False,decayed_best,24,0.97
241,extra_trees,5,0.14275251079483112,2,5,5,0.0,False,decayed_best,24,0.97
242,extra_trees,1,0.31059721884695757,3,5,5,0.0,False,decayed_best,24,0.97
242,extra_trees,2,0.3058620968335388,3,5,5,0.0,False,decayed_best,24,0.97
242,extra_trees,3,0.28224443882017347,3,5,5,0.0,False,decayed_best,24,0.97
242,extra_trees,4,0.2876517572877317,3,5,5,0.0,False,decayed_best,24,0.97
242,extra_trees,5,0.27524031041991864,3,5,5,0.0,False,decayed_best,24,0.97
243,extra_trees,1,0.5002537948762784,4,1,1,0.18102156949239756,True,decayed_best,24,0.97
243,extra_trees,2,0.5028966965521711,4,1,1,0.0,True,decayed_best,24,0.97
243,extra_trees,3,0.631114346683093,4,1,1,0.0,True,decayed_best,24,0.97
243,extra_trees,4,0.5135109126430855,4,1,1,0.0,True,decayed_best,24,0.97
243,extra_trees,5,0.6108265813132848,4,1,1,0.0,True,decayed_best,24,0.97
244,extra_trees,1,1.062997399717211,5,1,1,0.0,False,decayed_best,24,0.97
244,extra_trees,2,1.0972158142325514,5,1,1,0.0,False,decayed_best,24,0.97
244,extra_trees,3,1.2253590848802542,5,1,1,0.0,False,decayed_best,24,0.97
244,extra_trees,4,1.1038550185996492,5,1,1,0.0,False,decayed_best,24,0.97
244,extra_trees,5,1.2085634621641022,5,1,1,0.0,False,decayed_best,24,0.97
245,extra_trees,1,0.9683518945683446,6,1,1,0.0,False,decayed_best,24,0.97
245,extra_trees,2,0.9964271281930529,6,1,1,0.0,False,decayed_best,24,0.97
245,extra_trees,3,1.1151641427306063,6,1,1,0.0,False,decayed_best,24,0.97
245,extra_trees,4,1.002011791738675,6,1,1,0.0,False,decayed_best,24,0.97
245,extra_trees,5,1.10083480948351,6,1,1,0.0,False,decayed_best,24,0.97
