t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,gpr_dynamic_fi,1,0.22181260106036269,1,5,5,0.0,True,decayed_best,24,0.97
240,gpr_dynamic_fi,2,0.22181260106036269,1,5,5,0.0,True,decayed_best,24,0.97
240,gpr_dynamic_fi,3,0.22176843060887355,1,5,5,0.0,True,decayed_best,24,0.97
240,gpr_dynamic_fi,4,0.22176843060887355,1,5,5,0.0,True,decayed_best,24,0.97
240,gpr_dynamic_fi,5,0.12589198902603377,1,5,5,0.4324398685006434,True,decayed_best,24,0.97
241,gpr_dynamic_fi,1,0.15603527928960922,2,1,1,0.03360085613607755,True,decayed_best,24,0.97
241,gpr_dynamic_fi,2,0.15603527928960922,2,1,1,0.0,True,decayed_best,24,0.97
241,gpr_dynamic_fi,3,0.41187182378582143,2,1,1,0.0,True,decayed_best,24,0.97
241,gpr_dynamic_fi,4,0.41187182378582143,2,1,1,0.0,True,decayed_best,24,0.97
241,gpr_dynamic_fi,5,0.1614604899852647,2,1,1,0.0,True,decayed_best,24,0.97
242,gpr_dynamic_fi,1,0.5040255903316603,3,1,1,0.0,False,decayed_best,24,0.97
242,gpr_dynamic_fi,2,0.5040255903316603,3,1,1,0.0,False,decayed_best,24,0.97
242,gpr_dynamic_fi,3,0.5595981245276951,3,1,1,0.0,False,decayed_best,24,0.97
242,gpr_dynamic_fi,4,0.5595981245276951,3,1,1,0.0,False,decayed_best,24,0.97
242,gpr_dynamic_fi,5,0.5564626756630758,3,1,1,0.0,False,decayed_best,24,0.97
243,gpr_dynamic_fi,1,0.8841821096588743,4,1,1,0.0,False,decayed_best,24,0.97
243,gpr_dynamic_fi,2,0.8841821096588743,4,1,1,0.0,False,decayed_best,24,0.97
243,gpr_dynamic_fi,3,0.9085303295861842,4,1,1,0.0,False,decayed_best,24,0.97
243,gpr_dynamic_fi,4,0.9085303295861842,4,1,1,0.0,False,decayed_best,24,0.97
243,gpr_dynamic_fi,5,0.9577353505305567,4,1,1,0.0,False,decayed_best,24,0.97
244,gpr_dynamic_fi,1,1.5470930688404951,5,1,1,0.0,False,decayed_best,24,0.97
244,gpr_dynamic_fi,2,1.5470930688404951,5,1,1,0.0,False,decayed_best,24,0.97
244,gpr_dynamic_fi,3,1.5581645320292845,5,1,1,0.0,False,decayed_best,24,0.97
244,gpr_dynamic_fi,4,1.5581645320292845,5,1,1,0.0,False,decayed_best,24,0.97
244,gpr_dynamic_fi,5,1.6039941537247542,5,1,1,0.0,False,decayed_best,24,0.97
245,gpr_dynamic_fi,1,1.4318267792701231,6,1,1,0.0,False,decayed_best,24,0.97
245,gpr_dynamic_fi,2,1.4318267792701231,6,1,1,0.0,False,decayed_best,24,0.97
245,gpr_dynamic_fi,3,1.4416423634381799,6,1,1,0.0,False,decayed_best,24,0.97
245,gpr_dynamic_fi,4,1.4416423634381799,6,1,1,0.0,False,decayed_best,24,0.97
245,gpr_dynamic_fi,5,1.635083138656354,6,1,1,0.0,False,decayed_best,24,0.97
246,gpr_dynamic_fi,1,1.47655798665973,7,1,1,0.0,False,decayed_best,24,0.97
246,gpr_dynamic_fi,2,1.47655798665973,7,1,1,0.0,False,decayed_best,24,0.97
246,gpr_dynamic_fi,3,1.4845947808496476,7,1,1,0.0,False,decayed_best,24,0.97
246,gpr_dynamic_fi,4,1.4845947808496476,7,1,1,0.0,False,decayed_best,24,0.97
246,gpr_dynamic_fi,5,1.7282873384326145,7,1,1,0.0,False,decayed_best,24,0.97
247,gpr_dynamic_fi,1,1.4459309945976104,8,1,1,0.0,False,decayed_best,24,0.97
247,gpr_dynamic_fi,2,1.4459309945976104,8,1,1,0.0,False,decayed_best,24,0.97
247,gpr_dynamic_fi,3,1.4530014579824384,8,1,1,0.0,False,decayed_best,24,0.97
247,gpr_dynamic_fi,4,1.4530014579824384,8,1,1,0.0,False,decayed_best,24,0.97
247,gpr_dynamic_fi,5,1.6047990437856494,8,1,1,0.0,False,decayed_best,24,0.97
248,gpr_dynamic_fi,1,1.3636756616992725,9,1,1,0.0,False,decayed_best,24,0.97
248,gpr_dynamic_fi,2,1.3636756616992725,9,1,1,0.0,False,decayed_best,24,0.97
248,gpr_dynamic_fi,3,1.3702348473293333,9,1,1,0.0,False,decayed_best,24,0.97
248,gpr_dynamic_fi,4,1.3702348473293333,9,1,1,0.0,False,decayed_best,24,0.97
248,gpr_dynamic_fi,5,1.5111124875687885,9,1,1,0.0,False,decayed_best,24,0.97
249,gpr_dynamic_fi,1,1.3460170654804178,10,1,1,0.0,False,decayed_best,24,0.97
249,gpr_dynamic_fi,2,1.3460170654804178,10,1,1,0.0,False,decayed_best,24,0.97
249,gpr_dynamic_fi,3,1.3519043464533411,10,1,1,0.0,False,decayed_best,24,0.97
249,gpr_dynamic_fi,4,1.3519043464533411,10,1,1,0.0,False,decayed_best,24,0.97
249,gpr_dynamic_fi,5,1.447195129671119,10,1,1,0.0,False,decayed_best,24,0.97
250,gpr_dynamic_fi,1,1.2751631855977945,11,1,1,0.0,False,decayed_best,24,0.97
250,gpr_dynamic_fi,2,1.2751631855977945,11,1,1,0.0,False,decayed_best,24,0.97
250,gpr_dynamic_fi,3,1.280144613767462,11,1,1,0.0,False,decayed_best,24,0.97
250,gpr_dynamic_fi,4,1.280144613767462,11,1,1,0.0,False,decayed_best,24,0.97
250,gpr_dynamic_fi,5,1.3697387064984046,11,1,1,0.0,False,decayed_best,24,0.97
251,gpr_dynamic_fi,1,1.2365805037627597,12,1,1,0.0,False,decayed_best,24,0.97
251,gpr_dynamic_fi,2,1.2365805037627597,12,1,1,0.0,False,decayed_best,24,0.97
251,gpr_dynamic_fi,3,1.2412143718441424,12,1,1,0.0,False,decayed_best,24,0.97
251,gpr_dynamic_fi,4,1.2412143718441424,12,1,1,0.0,False,decayed_best,24,0.97
251,gpr_dynamic_fi,5,1.3272918014761623,12,1,1,0.0,False,decayed_best,24,0.97
252,gpr_dynamic_fi,1,1.320828166418888,13,5,5,0.0,True,decayed_best,24,0.97
252,gpr_dynamic_fi,2,1.320828166418888,13,5,5,0.0,True,decayed_best,24,0.97
252,gpr_dynamic_fi,3,1.324769935139122,13,5,5,0.0,True,decayed_best,24,0.97
252,gpr_dynamic_fi,4,1.324769935139122,13,5,5,0.0,True,decayed_best,24,0.97
252,gpr_dynamic_fi,5,1.2981990228623117,13,5,5,0.017132541637062237,True,decayed_best,24,0.97
253,gpr_dynamic_fi,1,1.3803792352761537,14,5,5,0.0,False,decayed_best,24,0.97
253,gpr_dynamic_fi,2,1.3803792352761537,14,5,5,0.0,False,decayed_best,24,0.97
253,gpr_dynamic_fi,3,1.3838264849828403,14,5,5,0.0,False,decayed_best,24,0.97
253,gpr_dynamic_fi,4,1.3838264849828403,14,5,5,0.0,False,decayed_best,24,0.97
253,gpr_dynamic_fi,5,1.2683539429917745,14,5,5,0.0,False,decayed_best,24,0.97
254,gpr_dynamic_fi,1,1.405106091267601,15,1,1,0.03848106336375001,True,decayed_best,24,0.97
254,gpr_dynamic_fi,2,1.405106091267601,15,1,1,0.0,True,decayed_best,24,0.97
254,gpr_dynamic_fi,3,1.408216095524318,15,1,1,0.0,True,decayed_best,24,0.97
254,gpr_dynamic_fi,4,1.408216095524318,15,1,1,0.0,True,decayed_best,24,0.97
254,gpr_dynamic_fi,5,1.4613400087399042,15,1,1,0.0,True,decayed_best,24,0.97
255,gpr_dynamic_fi,1,1.3775621364925623,16,3,3,0.0,True,decayed_best,24,0.97
255,gpr_dynamic_fi,2,1.3775621364925623,16,3,3,0.0,True,decayed_best,24,0.97
255,gpr_dynamic_fi,3,1.3723919259280768,16,3,3,0.0037531596053078653,True,decayed_best,24,0.97
255,gpr_dynamic_fi,4,1.3723919259280768,16,3,3,0.0,True,decayed_best,24,0.97
255,gpr_dynamic_fi,5,1.4072941420433913,16,3,3,0.0,True,decayed_best,24,0.97
256,gpr_dynamic_fi,1,1.3363643412144828,17,3,3,0.0,False,decayed_best,24,0.97
256,gpr_dynamic_fi,2,1.3363643412144828,17,3,3,0.0,False,decayed_best,24,0.97
256,gpr_dynamic_fi,3,1.3287365532734507,17,3,3,0.0,False,decayed_best,24,0.97
256,gpr_dynamic_fi,4,1.3287365532734507,17,3,3,0.0,False,decayed_best,24,0.97
256,gpr_dynamic_fi,5,1.397882087852582,17,3,3,0.0,False,decayed_best,24,0.97
257,gpr_dynamic_fi,1,1.288040320659843,18,3,3,0.0,False,decayed_best,24,0.97
257,gpr_dynamic_fi,2,1.288040320659843,18,3,3,0.0,False,decayed_best,24,0.97
257,gpr_dynamic_fi,3,1.280907418671508,18,3,3,0.0,False,decayed_best,24,0.97
257,gpr_dynamic_fi,4,1.280907418671508,18,3,3,0.0,False,decayed_best,24,0.97
257,gpr_dynamic_fi,5,1.3483307684398058,18,3,3,0.0,False,decayed_best,24,0.97
258,gpr_dynamic_fi,1,1.2657906849187854,19,3,3,0.0,False,decayed_best,24,0.97
258,gpr_dynamic_fi,2,1.2657906849187854,19,3,3,0.0,False,decayed_best,24,0.97
258,gpr_dynamic_fi,3,1.25825850357369,19,3,3,0.0,False,decayed_best,24,0.97
258,gpr_dynamic_fi,4,1.25825850357369,19,3,3,0.0,False,decayed_best,24,0.97
258,gpr_dynamic_fi,5,1.3743165816971512,19,3,3,0.0,False,decayed_best,24,0.97
259,gpr_dynamic_fi,1,1.2910934499998905,20,3,3,0.0,False,decayed_best,24,0.97
259,gpr_dynamic_fi,2,1.2910934499998905,20,3,3,0.0,False,decayed_best,24,0.97
