t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,gpr_with_target,1,0.5023210720963368,1,1,1,0.0,False,decayed_best,24,0.97
240,gpr_with_target,2,0.5023210720963368,1,1,1,0.0,False,decayed_best,24,0.97
240,gpr_with_target,3,0.5023210720963368,1,1,1,0.0,False,decayed_best,24,0.97
240,gpr_with_target,4,0.5023210720963368,1,1,1,0.0,False,decayed_best,24,0.97
240,gpr_with_target,5,0.5023210720963368,1,1,1,0.0,False,decayed_best,24,0.97
241,gpr_with_target,1,0.5569098004096265,2,1,1,0.0,False,decayed_best,24,0.97
241,gpr_with_target,2,0.5569098004096265,2,1,1,0.0,False,decayed_best,24,0.97
241,gpr_with_target,3,0.5569098004096265,2,1,1,0.0,False,decayed_best,24,0.97
241,gpr_with_target,4,0.5569098004096265,2,1,1,0.0,False,decayed_best,24,0.97
241,gpr_with_target,5,0.5569098004096265,2,1,1,0.0,False,decayed_best,24,0.97
242,gpr_with_target,1,0.6743688447206129,3,1,1,0.0,False,decayed_best,24,0.97
242,gpr_with_target,2,0.6743688447206129,3,1,1,0.0,False,decayed_best,24,0.97
242,gpr_with_target,3,0.6743688447206129,3,1,1,0.0,False,decayed_best,24,0.97
242,gpr_with_target,4,0.6743688447206129,3,1,1,0.0,False,decayed_best,24,0.97
242,gpr_with_target,5,0.6743688447206129,3,1,1,0.0,False,decayed_best,24,0.97
243,gpr_with_target,1,0.8947375924836738,4,1,1,0.0,False,decayed_best,24,0.97
243,gpr_with_target,2,0.8947375924836738,4,1,1,0.0,False,decayed_best,24,0.97
243,gpr_with_target,3,0.8947375924836738,4,1,1,0.0,False,decayed_best,24,0.97
243,gpr_with_target,4,0.8947375924836738,4,1,1,0.0,False,decayed_best,24,0.97
243,gpr_with_target,5,0.8947375924836738,4,1,1,0.0,False,decayed_best,24,0.97
244,gpr_with_target,1,1.8850299443704994,5,1,1,0.0,False,decayed_best,24,0.97
244,gpr_with_target,2,1.8850299443704994,5,1,1,0.0,False,decayed_best,24,0.97
244,gpr_with_target,3,1.8850299443704994,5,1,1,0.0,False,decayed_best,24,0.97
244,gpr_with_target,4,1.8850299443704994,5,1,1,0.0,False,decayed_best,24,0.97
244,gpr_with_target,5,1.8850299443704994,5,1,1,0.0,False,decayed_best,24,0.97
245,gpr_with_target,1,1.7145072343866485,6,1,1,0.0,False,decayed_best,24,0.97
245,gpr_with_target,2,1.7145072343866485,6,1,1,0.0,False,decayed_best,24,0.97
245,gpr_with_target,3,1.7145072343866485,6,1,1,0.0,False,decayed_best,24,0.97
245,gpr_with_target,4,1.7145072343866485,6,1,1,0.0,False,decayed_best,24,0.97
245,gpr_with_target,5,1.7145072343866485,6,1,1,0.0,False,decayed_best,24,0.97
246,gpr_with_target,1,1.6031947813980785,7,1,1,0.0,False,decayed_best,24,0.97
246,gpr_with_target,2,1.6031947813980785,7,1,1,0.0,False,decayed_best,24,0.97
246,gpr_with_target,3,1.6031947813980785,7,1,1,0.0,False,decayed_best,24,0.97
246,gpr_with_target,4,1.6031947813980785,7,1,1,0.0,False,decayed_best,24,0.97
246,gpr_with_target,5,1.6031947813980785,7,1,1,0.0,False,decayed_best,24,0.97
247,gpr_with_target,1,1.5953939057133855,8,1,1,0.0,False,decayed_best,24,0.97
247,gpr_with_target,2,1.5953939057133855,8,1,1,0.0,False,decayed_best,24,0.97
247,gpr_with_target,3,1.5953939057133855,8,1,1,0.0,False,decayed_best,24,0.97
247,gpr_with_target,4,1.5953939057133855,8,1,1,0.0,False,decayed_best,24,0.97
247,gpr_with_target,5,1.5953939057133855,8,1,1,0.0,False,decayed_best,24,0.97
248,gpr_with_target,1,1.5022992351533737,9,1,1,0.0,False,decayed_best,24,0.97
248,gpr_with_target,2,1.5022992351533737,9,1,1,0.0,False,decayed_best,24,0.97
248,gpr_with_target,3,1.5022992351533737,9,1,1,0.0,False,decayed_best,24,0.97
248,gpr_with_target,4,1.5022992351533737,9,1,1,0.0,False,decayed_best,24,0.97
248,gpr_with_target,5,1.5022992351533737,9,1,1,0.0,False,decayed_best,24,0.97
249,gpr_with_target,1,1.4466607400345957,10,1,1,0.0,False,decayed_best,24,0.97
249,gpr_with_target,2,1.4466607400345957,10,1,1,0.0,False,decayed_best,24,0.97
249,gpr_with_target,3,1.4466607400345957,10,1,1,0.0,False,decayed_best,24,0.97
249,gpr_with_target,4,1.4466607400345957,10,1,1,0.0,False,decayed_best,24,0.97
249,gpr_with_target,5,1.4466607400345957,10,1,1,0.0,False,decayed_best,24,0.97
250,gpr_with_target,1,1.3883255116911983,11,1,1,0.0,False,decayed_best,24,0.97
250,gpr_with_target,2,1.3883255116911983,11,1,1,0.0,False,decayed_best,24,0.97
250,gpr_with_target,3,1.3883255116911983,11,1,1,0.0,False,decayed_best,24,0.97
250,gpr_with_target,4,1.3883255116911983,11,1,1,0.0,False,decayed_best,24,0.97
250,gpr_with_target,5,1.3883255116911983,11,1,1,0.0,False,decayed_best,24,0.97
251,gpr_with_target,1,1.3355751491730723,12,1,1,0.0,False,decayed_best,24,0.97
251,gpr_with_target,2,1.3355751491730723,12,1,1,0.0,False,decayed_best,24,0.97
251,gpr_with_target,3,1.3355751491730723,12,1,1,0.0,False,decayed_best,24,0.97
251,gpr_with_target,4,1.3355751491730723,12,1,1,0.0,False,decayed_best,24,0.97
251,gpr_with_target,5,1.3355751491730723,12,1,1,0.0,False,decayed_best,24,0.97
