t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,lightgbm_with_target_mac,1,0.44082456250966456,1,1,1,0.0,False,decayed_best,24,0.97
240,lightgbm_with_target_mac,2,0.44082456250966456,1,1,1,0.0,False,decayed_best,24,0.97
240,lightgbm_with_target_mac,3,0.44082456250966456,1,1,1,0.0,False,decayed_best,24,0.97
240,lightgbm_with_target_mac,4,0.44082456250966456,1,1,1,0.0,False,decayed_best,24,0.97
240,lightgbm_with_target_mac,5,0.44082456250966456,1,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_with_target_mac,1,0.4427863687509658,2,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_with_target_mac,2,0.4427863687509658,2,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_with_target_mac,3,0.4427863687509658,2,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_with_target_mac,4,0.4427863687509658,2,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_with_target_mac,5,0.4427863687509658,2,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_with_target_mac,1,0.3807454888823341,3,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_with_target_mac,2,0.3807454888823341,3,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_with_target_mac,3,0.3807454888823341,3,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_with_target_mac,4,0.3807454888823341,3,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_with_target_mac,5,0.3807454888823341,3,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_with_target_mac,1,0.3501322283937908,4,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_with_target_mac,2,0.3501322283937908,4,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_with_target_mac,3,0.3501322283937908,4,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_with_target_mac,4,0.3501322283937908,4,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_with_target_mac,5,0.3501322283937908,4,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_with_target_mac,1,0.6590372240322977,5,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_with_target_mac,2,0.6590372240322977,5,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_with_target_mac,3,0.6590372240322977,5,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_with_target_mac,4,0.6590372240322977,5,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_with_target_mac,5,0.6590372240322977,5,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_with_target_mac,1,0.7706433805282474,6,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_with_target_mac,2,0.7706433805282474,6,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_with_target_mac,3,0.7706433805282474,6,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_with_target_mac,4,0.7706433805282474,6,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_with_target_mac,5,0.7706433805282474,6,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_with_target_mac,1,0.7477249499921185,7,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_with_target_mac,2,0.7477249499921185,7,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_with_target_mac,3,0.7477249499921185,7,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_with_target_mac,4,0.7477249499921185,7,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_with_target_mac,5,0.7477249499921185,7,1,1,0.0,False,decayed_best,24,0.97
247,lightgbm_with_target_mac,1,0.7052040719252918,8,1,1,0.0,False,decayed_best,24,0.97
247,lightgbm_with_target_mac,2,0.7052040719252918,8,1,1,0.0,False,decayed_best,24,0.97
247,lightgbm_with_target_mac,3,0.7052040719252918,8,1,1,0.0,False,decayed_best,24,0.97
247,lightgbm_with_target_mac,4,0.7052040719252918,8,1,1,0.0,False,decayed_best,24,0.97
247,lightgbm_with_target_mac,5,0.7052040719252918,8,1,1,0.0,False,decayed_best,24,0.97
248,lightgbm_with_target_mac,1,0.7477456337237739,9,1,1,0.0,False,decayed_best,24,0.97
248,lightgbm_with_target_mac,2,0.7477456337237739,9,1,1,0.0,False,decayed_best,24,0.97
248,lightgbm_with_target_mac,3,0.7477456337237739,9,1,1,0.0,False,decayed_best,24,0.97
248,lightgbm_with_target_mac,4,0.7477456337237739,9,1,1,0.0,False,decayed_best,24,0.97
248,lightgbm_with_target_mac,5,0.7477456337237739,9,1,1,0.0,False,decayed_best,24,0.97
