t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,lightgbm_without_target_final,1,0.04795801030977015,1,1,1,0.0,False,decayed_best,24,0.97
240,lightgbm_without_target_final,2,0.04795801030977015,1,1,1,0.0,False,decayed_best,24,0.97
240,lightgbm_without_target_final,3,0.04795801030977015,1,1,1,0.0,False,decayed_best,24,0.97
240,lightgbm_without_target_final,4,0.04795801030977015,1,1,1,0.0,False,decayed_best,24,0.97
240,lightgbm_without_target_final,5,0.2339190058366476,1,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_without_target_final,1,0.5751234763074163,2,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_without_target_final,2,0.5751234763074163,2,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_without_target_final,3,0.5751234763074163,2,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_without_target_final,4,0.5751234763074163,2,1,1,0.0,False,decayed_best,24,0.97
241,lightgbm_without_target_final,5,0.6804646649233353,2,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_without_target_final,1,0.6732737418787069,3,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_without_target_final,2,0.6732737418787069,3,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_without_target_final,3,0.6732737418787069,3,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_without_target_final,4,0.6732737418787069,3,1,1,0.0,False,decayed_best,24,0.97
242,lightgbm_without_target_final,5,0.7571003683786929,3,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_without_target_final,1,1.1878370575133468,4,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_without_target_final,2,1.1878370575133468,4,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_without_target_final,3,1.1878370575133468,4,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_without_target_final,4,1.1878370575133468,4,1,1,0.0,False,decayed_best,24,0.97
243,lightgbm_without_target_final,5,1.215236379069578,4,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_without_target_final,1,1.8316119098011718,5,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_without_target_final,2,1.8316119098011718,5,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_without_target_final,3,1.8316119098011718,5,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_without_target_final,4,1.8316119098011718,5,1,1,0.0,False,decayed_best,24,0.97
244,lightgbm_without_target_final,5,1.846686907028693,5,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_without_target_final,1,1.6711104195767115,6,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_without_target_final,2,1.6711104195767115,6,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_without_target_final,3,1.6711104195767115,6,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_without_target_final,4,1.6711104195767115,6,1,1,0.0,False,decayed_best,24,0.97
245,lightgbm_without_target_final,5,1.6756953171510234,6,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_without_target_final,1,1.5597010662230764,7,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_without_target_final,2,1.5597010662230764,7,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_without_target_final,3,1.5597010662230764,7,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_without_target_final,4,1.5597010662230764,7,1,1,0.0,False,decayed_best,24,0.97
246,lightgbm_without_target_final,5,1.5755424713145052,7,1,1,0.0,False,decayed_best,24,0.97
247,lightgbm_without_target_final,1,1.551853258913666,8,5,5,0.0,True,decayed_best,24,0.97
247,lightgbm_without_target_final,2,1.551853258913666,8,5,5,0.0,True,decayed_best,24,0.97
247,lightgbm_without_target_final,3,1.551853258913666,8,5,5,0.0,True,decayed_best,24,0.97
247,lightgbm_without_target_final,4,1.551853258913666,8,5,5,0.0,True,decayed_best,24,0.97
247,lightgbm_without_target_final,5,1.5471672270475643,8,5,5,0.003019635934767506,True,decayed_best,24,0.97
248,lightgbm_without_target_final,1,1.4539338043512282,9,5,5,0.0,False,decayed_best,24,0.97
248,lightgbm_without_target_final,2,1.4539338043512282,9,5,5,0.0,False,decayed_best,24,0.97
248,lightgbm_without_target_final,3,1.4539338043512282,9,5,5,0.0,False,decayed_best,24,0.97
248,lightgbm_without_target_final,4,1.4539338043512282,9,5,5,0.0,False,decayed_best,24,0.97
248,lightgbm_without_target_final,5,1.4476916829303366,9,5,5,0.0,False,decayed_best,24,0.97
249,lightgbm_without_target_final,1,1.4047121850914224,10,1,1,0.006924101937517468,True,decayed_best,24,0.97
249,lightgbm_without_target_final,2,1.4047121850914224,10,1,1,0.0,True,decayed_best,24,0.97
249,lightgbm_without_target_final,3,1.4047121850914224,10,1,1,0.0,True,decayed_best,24,0.97
249,lightgbm_without_target_final,4,1.4047121850914224,10,1,1,0.0,True,decayed_best,24,0.97
249,lightgbm_without_target_final,5,1.4145063713982517,10,1,1,0.0,True,decayed_best,24,0.97
250,lightgbm_without_target_final,1,1.3296132498525477,11,1,1,0.0,False,decayed_best,24,0.97
250,lightgbm_without_target_final,2,1.3296132498525477,11,1,1,0.0,False,decayed_best,24,0.97
250,lightgbm_without_target_final,3,1.3296132498525477,11,1,1,0.0,False,decayed_best,24,0.97
250,lightgbm_without_target_final,4,1.3296132498525477,11,1,1,0.0,False,decayed_best,24,0.97
250,lightgbm_without_target_final,5,1.3379523656408838,11,1,1,0.0,False,decayed_best,24,0.97
251,lightgbm_without_target_final,1,1.3227728149088516,12,5,5,0.0,True,decayed_best,24,0.97
251,lightgbm_without_target_final,2,1.3227728149088516,12,5,5,0.0,True,decayed_best,24,0.97
251,lightgbm_without_target_final,3,1.3227728149088516,12,5,5,0.0,True,decayed_best,24,0.97
