t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,sfm_with_target,1,0.4139307124017756,1,1,1,0.0,False,decayed_best,24,0.97
240,sfm_with_target,2,0.6983040975051217,1,1,1,0.0,False,decayed_best,24,0.97
240,sfm_with_target,3,0.6983036122318004,1,1,1,0.0,False,decayed_best,24,0.97
240,sfm_with_target,4,0.6982555735526431,1,1,1,0.0,False,decayed_best,24,0.97
240,sfm_with_target,5,0.6934852631623851,1,1,1,0.0,False,decayed_best,24,0.97
241,sfm_with_target,1,0.4347211077462013,2,1,1,0.0,False,decayed_best,24,0.97
241,sfm_with_target,2,0.628678258517944,2,1,1,0.0,False,decayed_best,24,0.97
241,sfm_with_target,3,0.6286779383427054,2,1,1,0.0,False,decayed_best,24,0.97
241,sfm_with_target,4,0.6286462431340676,2,1,1,0.0,False,decayed_best,24,0.97
241,sfm_with_target,5,0.625497967059439,2,1,1,0.0,False,decayed_best,24,0.97
242,sfm_with_target,1,0.3552706621616756,3,1,1,0.0,False,decayed_best,24,0.97
242,sfm_with_target,2,0.5522458646917362,3,1,1,0.0,False,decayed_best,24,0.97
242,sfm_with_target,3,0.5522455347999652,3,1,1,0.0,False,decayed_best,24,0.97
242,sfm_with_target,4,0.5522128776181457,3,1,1,0.0,False,decayed_best,24,0.97
242,sfm_with_target,5,0.5489680610590651,3,1,1,0.0,False,decayed_best,24,0.97
243,sfm_with_target,1,0.8125081886436222,4,1,1,0.0,False,decayed_best,24,0.97
243,sfm_with_target,2,0.8783287170771802,4,1,1,0.0,False,decayed_best,24,0.97
243,sfm_with_target,3,0.8783285578735901,4,1,1,0.0,False,decayed_best,24,0.97
243,sfm_with_target,4,0.878312798465959,4,1,1,0.0,False,decayed_best,24,0.97
243,sfm_with_target,5,0.876754187125225,4,1,1,0.0,False,decayed_best,24,0.97
244,sfm_with_target,1,0.8999737748202854,5,5,5,0.0,True,decayed_best,24,0.97
244,sfm_with_target,2,0.8061412615380115,5,5,5,0.0,True,decayed_best,24,0.97
244,sfm_with_target,3,0.8061412434557067,5,5,5,0.0,True,decayed_best,24,0.97
244,sfm_with_target,4,0.8061394557984358,5,5,5,0.0,True,decayed_best,24,0.97
244,sfm_with_target,5,0.8059853623289016,5,5,5,0.10443461256429631,True,decayed_best,24,0.97
245,sfm_with_target,1,0.9078547614510294,6,1,1,0.09185740782768181,True,decayed_best,24,0.97
245,sfm_with_target,2,1.0024908827136272,6,1,1,0.0,True,decayed_best,24,0.97
245,sfm_with_target,3,1.0024905988662611,6,1,1,0.0,True,decayed_best,24,0.97
245,sfm_with_target,4,1.0024625010283117,6,1,1,0.0,True,decayed_best,24,0.97
245,sfm_with_target,5,0.9996830555864578,6,1,1,0.0,True,decayed_best,24,0.97
246,sfm_with_target,1,0.8488513856877095,7,1,1,0.0,False,decayed_best,24,0.97
246,sfm_with_target,2,0.9216253755506956,7,1,1,0.0,False,decayed_best,24,0.97
246,sfm_with_target,3,0.9216251040670189,7,1,1,0.0,False,decayed_best,24,0.97
246,sfm_with_target,4,0.921598230379282,7,1,1,0.0,False,decayed_best,24,0.97
246,sfm_with_target,5,0.9189426484255733,7,1,1,0.0,False,decayed_best,24,0.97
247,sfm_with_target,1,1.369005672995044,8,1,1,0.0,False,decayed_best,24,0.97
247,sfm_with_target,2,1.5601552186754737,8,1,1,0.0,False,decayed_best,24,0.97
247,sfm_with_target,3,1.5601548936340375,8,1,1,0.0,False,decayed_best,24,0.97
247,sfm_with_target,4,1.5601227164654883,8,1,1,0.0,False,decayed_best,24,0.97
247,sfm_with_target,5,1.556924249006085,8,1,1,0.0,False,decayed_best,24,0.97
248,sfm_with_target,1,1.2876036957463652,9,1,1,0.0,False,decayed_best,24,0.97
248,sfm_with_target,2,1.4654462694745756,9,1,1,0.0,False,decayed_best,24,0.97
248,sfm_with_target,3,1.4654459656333778,9,1,1,0.0,False,decayed_best,24,0.97
248,sfm_with_target,4,1.46541588718051,9,1,1,0.0,False,decayed_best,24,0.97
248,sfm_with_target,5,1.4624262157380556,9,1,1,0.0,False,decayed_best,24,0.97
249,sfm_with_target,1,1.4838819305424156,10,1,1,0.0,False,decayed_best,24,0.97
249,sfm_with_target,2,1.8990483927538802,10,1,1,0.0,False,decayed_best,24,0.97
249,sfm_with_target,3,1.8990477688572578,10,1,1,0.0,False,decayed_best,24,0.97
249,sfm_with_target,4,1.898986005915763,10,1,1,0.0,False,decayed_best,24,0.97
249,sfm_with_target,5,1.8928378481845907,10,1,1,0.0,False,decayed_best,24,0.97
250,sfm_with_target,1,1.4393107491300605,11,1,1,0.0,False,decayed_best,24,0.97
250,sfm_with_target,2,1.8590817006321656,11,1,1,0.0,False,decayed_best,24,0.97
250,sfm_with_target,3,1.859081072490785,11,1,1,0.0,False,decayed_best,24,0.97
250,sfm_with_target,4,1.8590188893114656,11,1,1,0.0,False,decayed_best,24,0.97
250,sfm_with_target,5,1.852828641277092,11,1,1,0.0,False,decayed_best,24,0.97
251,sfm_with_target,1,1.3731449826460727,12,1,1,0.0,False,decayed_best,24,0.97
251,sfm_with_target,2,1.7681518429103389,12,1,1,0.0,False,decayed_best,24,0.97
251,sfm_with_target,3,1.7681512491730864,12,1,1,0.0,False,decayed_best,24,0.97
251,sfm_with_target,4,1.768092471874363,12,1,1,0.0,False,decayed_best,24,0.97
251,sfm_with_target,5,1.762241535414171,12,1,1,0.0,False,decayed_best,24,0.97
252,sfm_with_target,1,1.365546823300188,13,1,1,0.0,False,decayed_best,24,0.97
252,sfm_with_target,2,1.7157413348436117,13,1,1,0.0,False,decayed_best,24,0.97
252,sfm_with_target,3,1.7157407956658377,13,1,1,0.0,False,decayed_best,24,0.97
252,sfm_with_target,4,1.7156874196439156,13,1,1,0.0,False,decayed_best,24,0.97
252,sfm_with_target,5,1.710375496969606,13,1,1,0.0,False,decayed_best,24,0.97
253,sfm_with_target,1,1.7938095137764452,14,1,1,0.0,False,decayed_best,24,0.97
253,sfm_with_target,2,2.2716049171619708,14,1,1,0.0,False,decayed_best,24,0.97
253,sfm_with_target,3,2.271604178049354,14,1,1,0.0,False,decayed_best,24,0.97
253,sfm_with_target,4,2.2715310097306447,14,1,1,0.0,False,decayed_best,24,0.97
253,sfm_with_target,5,2.2642522919985675,14,1,1,0.0,False,decayed_best,24,0.97
254,sfm_with_target,1,2.050234694544432,15,1,1,0.0,False,decayed_best,24,0.97
254,sfm_with_target,2,2.572267547575149,15,1,1,0.0,False,decayed_best,24,0.97
254,sfm_with_target,3,2.572266759695342,15,1,1,0.0,False,decayed_best,24,0.97
254,sfm_with_target,4,2.5721887634628575,15,1,1,0.0,False,decayed_best,24,0.97
254,sfm_with_target,5,2.564427636819597,15,1,1,0.0,False,decayed_best,24,0.97
255,sfm_with_target,1,2.01716779369079,16,1,1,0.0,False,decayed_best,24,0.97
255,sfm_with_target,2,2.519473017175138,16,1,1,0.0,False,decayed_best,24,0.97
255,sfm_with_target,3,2.5194722601441133,16,1,1,0.0,False,decayed_best,24,0.97
255,sfm_with_target,4,2.519397317776962,16,1,1,0.0,False,decayed_best,24,0.97
255,sfm_with_target,5,2.5119399452512585,16,1,1,0.0,False,decayed_best,24,0.97
256,sfm_with_target,1,1.9412333462754783,17,1,1,0.0,False,decayed_best,24,0.97
256,sfm_with_target,2,2.426182167982713,17,1,1,0.0,False,decayed_best,24,0.97
