t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,svr_without_target,1,0.2585569887009095,1,3,3,0.0,True,decayed_best,24,0.97
240,svr_without_target,2,0.20025534143243096,1,3,3,0.0,True,decayed_best,24,0.97
240,svr_without_target,3,0.015578321333508893,1,3,3,0.9397489837278025,True,decayed_best,24,0.97
240,svr_without_target,4,0.13180723762648838,1,3,3,0.0,True,decayed_best,24,0.97
240,svr_without_target,5,0.11997232802399238,1,3,3,0.0,True,decayed_best,24,0.97
241,svr_without_target,1,0.29809044759285097,2,3,3,0.0,False,decayed_best,24,0.97
241,svr_without_target,2,0.18299055581801899,2,3,3,0.0,False,decayed_best,24,0.97
241,svr_without_target,3,0.09002544575920919,2,3,3,0.0,False,decayed_best,24,0.97
241,svr_without_target,4,0.1750566048640483,2,3,3,0.0,False,decayed_best,24,0.97
241,svr_without_target,5,0.2500995592910437,2,3,3,0.0,False,decayed_best,24,0.97
242,svr_without_target,1,0.5132583180905916,3,1,1,0.04289872678501183,True,decayed_best,24,0.97
242,svr_without_target,2,0.517006997999832,3,1,1,0.0,True,decayed_best,24,0.97
242,svr_without_target,3,0.5362633322663038,3,1,1,0.0,True,decayed_best,24,0.97
242,svr_without_target,4,0.5875351906214187,3,1,1,0.0,True,decayed_best,24,0.97
242,svr_without_target,5,0.5284250416813788,3,1,1,0.0,True,decayed_best,24,0.97
243,svr_without_target,1,0.8848726866155008,4,3,3,0.0,True,decayed_best,24,0.97
243,svr_without_target,2,0.8770552103398412,4,3,3,0.0,True,decayed_best,24,0.97
243,svr_without_target,3,0.8623567157840862,4,3,3,0.02544543545301936,True,decayed_best,24,0.97
243,svr_without_target,4,0.9123075281638929,4,3,3,0.0,True,decayed_best,24,0.97
243,svr_without_target,5,0.8711224642355856,4,3,3,0.0,True,decayed_best,24,0.97
244,svr_without_target,1,1.7536308749551905,5,3,3,0.0,False,decayed_best,24,0.97
244,svr_without_target,2,1.7526959686540975,5,3,3,0.0,False,decayed_best,24,0.97
244,svr_without_target,3,1.696058716122128,5,3,3,0.0,False,decayed_best,24,0.97
244,svr_without_target,4,1.7300534846774063,5,3,3,0.0,False,decayed_best,24,0.97
244,svr_without_target,5,1.8062105252947955,5,3,3,0.0,False,decayed_best,24,0.97
245,svr_without_target,1,1.6087491088147583,6,3,3,0.0,False,decayed_best,24,0.97
245,svr_without_target,2,1.6047048745559647,6,3,3,0.0,False,decayed_best,24,0.97
245,svr_without_target,3,1.5458421442125097,6,3,3,0.0,False,decayed_best,24,0.97
245,svr_without_target,4,1.5906446653810575,6,3,3,0.0,False,decayed_best,24,0.97
245,svr_without_target,5,1.6463211982657808,6,3,3,0.0,False,decayed_best,24,0.97
246,svr_without_target,1,1.5463638910778363,7,3,3,0.0,False,decayed_best,24,0.97
246,svr_without_target,2,1.5411617925612147,7,3,3,0.0,False,decayed_best,24,0.97
246,svr_without_target,3,1.5149742497093186,7,3,3,0.0,False,decayed_best,24,0.97
246,svr_without_target,4,1.6079922166101792,7,3,3,0.0,False,decayed_best,24,0.97
246,svr_without_target,5,1.5896661326148076,7,3,3,0.0,False,decayed_best,24,0.97
247,svr_without_target,1,1.5732728387517003,8,3,3,0.0,False,decayed_best,24,0.97
247,svr_without_target,2,1.554572430947297,8,3,3,0.0,False,decayed_best,24,0.97
247,svr_without_target,3,1.517395749235516,8,3,3,0.0,False,decayed_best,24,0.97
247,svr_without_target,4,1.5871320012379033,8,3,3,0.0,False,decayed_best,24,0.97
247,svr_without_target,5,1.605618602875786,8,3,3,0.0,False,decayed_best,24,0.97
248,svr_without_target,1,1.4723402631426652,9,3,3,0.0,False,decayed_best,24,0.97
248,svr_without_target,2,1.4546714233915938,9,3,3,0.0,False,decayed_best,24,0.97
248,svr_without_target,3,1.4306697603681253,9,3,3,0.0,False,decayed_best,24,0.97
248,svr_without_target,4,1.4989628163200668,9,3,3,0.0,False,decayed_best,24,0.97
248,svr_without_target,5,1.5048325452805247,9,3,3,0.0,False,decayed_best,24,0.97
249,svr_without_target,1,1.4032384968983036,10,2,2,0.0,True,decayed_best,24,0.97
249,svr_without_target,2,1.3920009614606295,10,2,2,0.013632495796974897,True,decayed_best,24,0.97
249,svr_without_target,3,1.4112396804732046,10,2,2,0.0,True,decayed_best,24,0.97
249,svr_without_target,4,1.4680581455639377,10,2,2,0.0,True,decayed_best,24,0.97
249,svr_without_target,5,1.4437419203250166,10,2,2,0.0,True,decayed_best,24,0.97
250,svr_without_target,1,1.345811725773362,11,2,2,0.0,False,decayed_best,24,0.97
250,svr_without_target,2,1.324743776896157,11,2,2,0.0,False,decayed_best,24,0.97
250,svr_without_target,3,1.3369571728212581,11,2,2,0.0,False,decayed_best,24,0.97
250,svr_without_target,4,1.3896274108518643,11,2,2,0.0,False,decayed_best,24,0.97
250,svr_without_target,5,1.3802295099538355,11,2,2,0.0,False,decayed_best,24,0.97
251,svr_without_target,1,1.2839144045559712,12,2,2,0.0,False,decayed_best,24,0.97
251,svr_without_target,2,1.2689266346458015,12,2,2,0.0,False,decayed_best,24,0.97
251,svr_without_target,3,1.2976707636401663,12,2,2,0.0,False,decayed_best,24,0.97
251,svr_without_target,4,1.3612562158160832,12,2,2,0.0,False,decayed_best,24,0.97
