t,model,config_id,wrmse_window,window_len,active_idx,candidate_best_idx,gain_vs_incumbent,switched,selection_mode,policy_window,policy_decay
240,tabpfn_with_target,1,0.4113749082271899,1,2,2,0.0,True,decayed_best,24,0.97
240,tabpfn_with_target,2,0.30128363921092405,1,2,2,0.2676178512945806,True,decayed_best,24,0.97
240,tabpfn_with_target,3,4.714844960432783,1,2,2,0.0,True,decayed_best,24,0.97
240,tabpfn_with_target,4,0.35096721007274045,1,2,2,0.0,True,decayed_best,24,0.97
240,tabpfn_with_target,5,1.6277814094836867,1,2,2,0.0,True,decayed_best,24,0.97
241,tabpfn_with_target,1,0.38571228788462353,2,1,1,0.30849971968873646,True,decayed_best,24,0.97
241,tabpfn_with_target,2,0.5577905011274958,2,1,1,0.0,True,decayed_best,24,0.97
241,tabpfn_with_target,3,3.3632927940080846,2,1,1,0.0,True,decayed_best,24,0.97
241,tabpfn_with_target,4,0.5207913134426925,2,1,1,0.0,True,decayed_best,24,0.97
241,tabpfn_with_target,5,1.1633365070993766,2,1,1,0.0,True,decayed_best,24,0.97
242,tabpfn_with_target,1,0.47302573945301396,3,1,1,0.0,False,decayed_best,24,0.97
242,tabpfn_with_target,2,0.677438087345727,3,1,1,0.0,False,decayed_best,24,0.97
242,tabpfn_with_target,3,3.5436894013687565,3,1,1,0.0,False,decayed_best,24,0.97
242,tabpfn_with_target,4,0.5771260014092351,3,1,1,0.0,False,decayed_best,24,0.97
242,tabpfn_with_target,5,1.256266799407767,3,1,1,0.0,False,decayed_best,24,0.97
243,tabpfn_with_target,1,0.7778566925960299,4,1,1,0.0,False,decayed_best,24,0.97
243,tabpfn_with_target,2,0.9185314979469039,4,1,1,0.0,False,decayed_best,24,0.97
243,tabpfn_with_target,3,3.0460349073554562,4,1,1,0.0,False,decayed_best,24,0.97
243,tabpfn_with_target,4,0.7948707366662109,4,1,1,0.0,False,decayed_best,24,0.97
243,tabpfn_with_target,5,1.3025396709159744,4,1,1,0.0,False,decayed_best,24,0.97
244,tabpfn_with_target,1,1.4916664695337818,5,5,5,0.0,True,decayed_best,24,0.97
244,tabpfn_with_target,2,1.715706965564281,5,5,5,0.0,True,decayed_best,24,0.97
244,tabpfn_with_target,3,3.0220288558350576,5,5,5,0.0,True,decayed_best,24,0.97
244,tabpfn_with_target,4,1.6483385930875445,5,5,5,0.0,True,decayed_best,24,0.97
244,tabpfn_with_target,5,1.1572162439349825,5,5,5,0.22421247137326294,True,decayed_best,24,0.97
245,tabpfn_with_target,1,1.3516063045650173,6,5,5,0.0,False,decayed_best,24,0.97
245,tabpfn_with_target,2,1.5542665468121957,6,5,5,0.0,False,decayed_best,24,0.97
245,tabpfn_with_target,3,2.796397983166308,6,5,5,0.0,False,decayed_best,24,0.97
245,tabpfn_with_target,4,1.5115743210799033,6,5,5,0.0,False,decayed_best,24,0.97
245,tabpfn_with_target,5,1.239893925643965,6,5,5,0.0,False,decayed_best,24,0.97
246,tabpfn_with_target,1,1.3523336536797692,7,5,5,0.0,False,decayed_best,24,0.97
246,tabpfn_with_target,2,1.4429283844306249,7,5,5,0.0,False,decayed_best,24,0.97
246,tabpfn_with_target,3,2.607726385847692,7,5,5,0.0,False,decayed_best,24,0.97
246,tabpfn_with_target,4,1.3885074643466833,7,5,5,0.0,False,decayed_best,24,0.97
246,tabpfn_with_target,5,1.1632900616206991,7,5,5,0.0,False,decayed_best,24,0.97
247,tabpfn_with_target,1,1.407153690341677,8,1,1,0.13907129569048104,True,decayed_best,24,0.97
247,tabpfn_with_target,2,1.4838425178900274,8,1,1,0.0,True,decayed_best,24,0.97
247,tabpfn_with_target,3,2.422525928800769,8,1,1,0.0,True,decayed_best,24,0.97
247,tabpfn_with_target,4,1.4222311975436361,8,1,1,0.0,True,decayed_best,24,0.97
247,tabpfn_with_target,5,1.6344601861895647,8,1,1,0.0,True,decayed_best,24,0.97
248,tabpfn_with_target,1,1.317930044367349,9,1,1,0.0,False,decayed_best,24,0.97
248,tabpfn_with_target,2,1.4240321402981726,9,1,1,0.0,False,decayed_best,24,0.97
248,tabpfn_with_target,3,2.761220136463554,9,1,1,0.0,False,decayed_best,24,0.97
248,tabpfn_with_target,4,1.3587859960739992,9,1,1,0.0,False,decayed_best,24,0.97
248,tabpfn_with_target,5,1.5288019136742295,9,1,1,0.0,False,decayed_best,24,0.97
249,tabpfn_with_target,1,1.27798377327858,10,1,1,0.0,False,decayed_best,24,0.97
249,tabpfn_with_target,2,1.3565909663494087,10,1,1,0.0,False,decayed_best,24,0.97
249,tabpfn_with_target,3,2.6088018084681575,10,1,1,0.0,False,decayed_best,24,0.97
249,tabpfn_with_target,4,1.2797793285237598,10,1,1,0.0,False,decayed_best,24,0.97
249,tabpfn_with_target,5,1.7129428196764827,10,1,1,0.0,False,decayed_best,24,0.97
250,tabpfn_with_target,1,1.2106502342039105,11,1,1,0.0,False,decayed_best,24,0.97
250,tabpfn_with_target,2,1.289900957180236,11,1,1,0.0,False,decayed_best,24,0.97
250,tabpfn_with_target,3,2.6630760063927186,11,1,1,0.0,False,decayed_best,24,0.97
250,tabpfn_with_target,4,1.2249628488895803,11,1,1,0.0,False,decayed_best,24,0.97
250,tabpfn_with_target,5,1.6988288204283672,11,1,1,0.0,False,decayed_best,24,0.97
251,tabpfn_with_target,1,1.1610864591495091,12,1,1,0.0,False,decayed_best,24,0.97
251,tabpfn_with_target,2,1.2380847279348763,12,1,1,0.0,False,decayed_best,24,0.97
251,tabpfn_with_target,3,2.707140939033965,12,1,1,0.0,False,decayed_best,24,0.97
251,tabpfn_with_target,4,1.1802886012812543,12,1,1,0.0,False,decayed_best,24,0.97
251,tabpfn_with_target,5,1.6156059277432997,12,1,1,0.0,False,decayed_best,24,0.97
252,tabpfn_with_target,1,1.25492172761864,13,4,4,0.0,True,decayed_best,24,0.97
252,tabpfn_with_target,2,1.2860571581154168,13,4,4,0.0,True,decayed_best,24,0.97
252,tabpfn_with_target,3,2.5821212606056942,13,4,4,0.0,True,decayed_best,24,0.97
252,tabpfn_with_target,4,1.1978489099771827,13,4,4,0.045479185183732174,True,decayed_best,24,0.97
252,tabpfn_with_target,5,1.5708824439057814,13,4,4,0.0,True,decayed_best,24,0.97
253,tabpfn_with_target,1,1.2653887447864085,14,4,4,0.0,False,decayed_best,24,0.97
253,tabpfn_with_target,2,1.261655675168345,14,4,4,0.0,False,decayed_best,24,0.97
253,tabpfn_with_target,3,2.579247589955479,14,4,4,0.0,False,decayed_best,24,0.97
253,tabpfn_with_target,4,1.2070980542038796,14,4,4,0.0,False,decayed_best,24,0.97
253,tabpfn_with_target,5,1.797425127879309,14,4,4,0.0,False,decayed_best,24,0.97
254,tabpfn_with_target,1,1.268730343084543,15,4,4,0.0,False,decayed_best,24,0.97
254,tabpfn_with_target,2,1.3062243109937677,15,4,4,0.0,False,decayed_best,24,0.97
254,tabpfn_with_target,3,2.6365543033898433,15,4,4,0.0,False,decayed_best,24,0.97
254,tabpfn_with_target,4,1.2499992679772662,15,4,4,0.0,False,decayed_best,24,0.97
254,tabpfn_with_target,5,2.1322393391787475,15,4,4,0.0,False,decayed_best,24,0.97
255,tabpfn_with_target,1,1.2363912695606798,16,4,4,0.0,False,decayed_best,24,0.97
255,tabpfn_with_target,2,1.3062563022857425,16,4,4,0.0,False,decayed_best,24,0.97
255,tabpfn_with_target,3,2.5320145162630414,16,4,4,0.0,False,decayed_best,24,0.97
255,tabpfn_with_target,4,1.2169218168432996,16,4,4,0.0,False,decayed_best,24,0.97
255,tabpfn_with_target,5,2.08963525407815,16,4,4,0.0,False,decayed_best,24,0.97
256,tabpfn_with_target,1,1.2008432291593554,17,4,4,0.0,False,decayed_best,24,0.97
256,tabpfn_with_target,2,1.2569635539654336,17,4,4,0.0,False,decayed_best,24,0.97
256,tabpfn_with_target,3,2.467258247477369,17,4,4,0.0,False,decayed_best,24,0.97
256,tabpfn_with_target,4,1.1714574651679337,17,4,4,0.0,False,decayed_best,24,0.97
256,tabpfn_with_target,5,2.026930247739385,17,4,4,0.0,False,decayed_best,24,0.97
257,tabpfn_with_target,1,1.1582449573681655,18,4,4,0.0,False,decayed_best,24,0.97
257,tabpfn_with_target,2,1.215175839563057,18,4,4,0.0,False,decayed_best,24,0.97
257,tabpfn_with_target,3,2.4117928687331873,18,4,4,0.0,False,decayed_best,24,0.97
257,tabpfn_with_target,4,1.1369225373150555,18,4,4,0.0,False,decayed_best,24,0.97
257,tabpfn_with_target,5,1.9668586849852658,18,4,4,0.0,False,decayed_best,24,0.97
258,tabpfn_with_target,1,1.1441372282439237,19,1,1,0.05411180852584696,True,decayed_best,24,0.97
258,tabpfn_with_target,2,1.2331112851834691,19,1,1,0.0,True,decayed_best,24,0.97
258,tabpfn_with_target,3,2.3280114867615644,19,1,1,0.0,True,decayed_best,24,0.97
258,tabpfn_with_target,4,1.2095903496382616,19,1,1,0.0,True,decayed_best,24,0.97
258,tabpfn_with_target,5,1.915572871795202,19,1,1,0.0,True,decayed_best,24,0.97
259,tabpfn_with_target,1,1.1855086242063468,20,1,1,0.0,False,decayed_best,24,0.97
259,tabpfn_with_target,2,1.23986598887495,20,1,1,0.0,False,decayed_best,24,0.97
259,tabpfn_with_target,3,2.3559777842447405,20,1,1,0.0,False,decayed_best,24,0.97
259,tabpfn_with_target,4,1.2198962843207384,20,1,1,0.0,False,decayed_best,24,0.97
259,tabpfn_with_target,5,1.9144947996494999,20,1,1,0.0,False,decayed_best,24,0.97
260,tabpfn_with_target,1,1.1661706059008132,21,1,1,0.0,False,decayed_best,24,0.97
