time_for_pred,used_model_params,used_fe_spec,used_features_count,selected_next_score
2000-03-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.5528496701618786
2000-04-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.733602202182808
2000-05-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.10407294804693956
2000-06-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,2.865035458015398
2000-07-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,2.7075123703899995
2000-08-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.3088504042231211
2000-09-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.9359921846267896
2000-10-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.5778911405008276
2000-11-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.06854578990098775
2000-12-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.9012833499556901
2001-01-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.6257774255711237
2001-02-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.7217475300599534
2001-03-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,2.137239865230746
2001-04-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.3888557251223774
2001-05-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.7349099617451067
2001-06-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,0.06645857552599149
2001-07-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.5549332344943385
2001-08-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (6,), 'rm_windows': (), 'ema_spans': ()}",200,1.740231232080314
2001-09-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.4886099175757206
2001-10-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.66911570848745
2001-11-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,0.15960339116173627
2001-12-01,"{'alpha': 0.05, 'l1_ratio': 0.5, 'max_iter': 10000, 'fit_intercept': True, 'random_state': 42, 'standardize': True}","{'lags': (3,), 'rm_windows': (), 'ema_spans': ()}",200,1.5918611920974082
